id_control,Descripcion_control,Id_tipo_estgia_control,Id_tipo_med_control,Id_tipo_Qcontrol,Id_valoracion_residual,id_valoracion_residual
81,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,P,EPP,A,81,28
82,Puntos de anclaje,M,SUS,B,82,28
83,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,P,EPP,A,83,29
84,1. Uso de herramientas adecuadas.,P,SUS,C,84,29
85,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,M,ADM,A,85,30
86,1. Uso de herramientas adecuadas.,M,SUS,D,86,30
87,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,P,ELI,C,87,30
88,Descripcion,P,SUS,D,88,31
89,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,ELI,D,89,31
90,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,M,SUS,A,90,31
91,Orejeras Tapones auditivos,P,INH,B,91,31
92,Orejeras Tapones auditivos,M,ADM,A,92,31
93,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,ADM,E,93,32
94,Orejeras Tapones auditivos,P,EPP,B,94,32
95,Probadores de energia Multitester Revelador de tension,M,SUS,D,95,32
96,Uso del drenaje ecologico tipo check.,M,SUS,D,96,32
97,Barbiquejo,M,SUS,B,97,33
98,Respirador y filtros de polvo,M,EPP,B,98,33
99,Zapatos de seguridad con planta de caucho o material antideslizante.,M,SUS,B,99,33
100,Respirador con filtro de gases,P,ELI,A,100,34
101,Probadores de energia Multitester Revelador de tension,P,EPP,B,101,35
102,1. Uso de herramientas adecuadas.,M,ADM,C,102,35
103,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,P,EPP,A,103,36
104,Instalacion de silenciadores en ventiladores,M,ADM,B,104,36
105,Probadores de energia Multitester Revelador de tension,P,ADM,D,105,37
106,Orejeras Tapones auditivos,P,INH,E,106,37
107,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,ADM,C,107,37
108,1. Senalizacion,M,ADM,D,108,37
109,Respirador con filtro de gases,P,SUS,C,109,38
110,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,INH,D,110,38
111,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,P,ELI,D,111,38
112,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,ELI,A,112,39
113,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,EPP,C,113,39
114,1. Senalizacion,M,SUS,D,114,39
115,Orejeras Tapones auditivos,M,ELI,E,115,40
116,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,SUS,D,116,41
117,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,ADM,C,117,41
118,Zapatos de seguridad con planta de caucho o material antideslizante.,P,INH,D,118,41
119,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,ADM,B,119,41
120,Puntos de anclaje,P,SUS,E,120,41
121,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,P,ELI,D,121,42
122,Zapatos de seguridad con planta de caucho o material antideslizante.,M,SUS,E,122,42
123,Colocacion de Barreras  Solidas,M,ADM,B,123,42
124,Puntos de anclaje,M,EPP,A,124,42
125,Puntos de anclaje,M,EPP,E,125,43
126,Instalacion de silenciadores en ventiladores,M,INH,E,126,44
127,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,SUS,E,127,44
128,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico  PETAR para trabajos en caliente Verificar la ventilacion constante del ambiente de trabajo E-COR-SIB-11.02 Proteccion Respiratoria,M,EPP,A,128,44
129,Orejeras Tapones auditivos,P,SUS,C,129,45
130,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico  PETAR para trabajos en caliente Verificar la ventilacion constante del ambiente de trabajo E-COR-SIB-11.02 Proteccion Respiratoria,M,ELI,C,130,45
131,Zapatos de seguridad con planta de caucho o material antideslizante.,M,INH,A,131,45
132,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,M,ADM,E,132,45
133,guantes de cuero o anticorte.,M,SUS,A,133,45
134,Desenergizar y bloquear  fuente de energia,P,ADM,E,134,46
135,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,P,INH,D,135,46
136,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,P,ELI,E,136,46
137,Extintores en Zona de trabajo,M,EPP,C,137,47
138,1. Senalizacion,P,SUS,E,138,47
139,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,M,ELI,C,139,48
140,Respirador con filtro de gases,P,ADM,A,140,48
141,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico Verificacion de la autorizacion de operatividad del equipo de izaje y del personal que lo va a maniobrar. Difusion del estandar E-COR-SIB-05.05 Equipos de Izaje y Gruas,P,ADM,B,141,48
142,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,ELI,C,142,48
143,1. P-COR-SIB-04.15 Manejo de derrames 2. Capacitacion en E-COR-SIB-11.01 Control de Materiales Quimicos Peligrosos. 3. Capacitacion en uso de MSDS. 4. Cumplir con el Plan de Contingencias. 4. Capacitacion en reporte de incidentes por derrames.,M,ELI,A,143,49
144,Uso del drenaje ecologico tipo check.,M,INH,E,144,50
145,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,INH,E,145,50
146,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,EPP,B,146,50
147,delimitacion de areas 2. Mantener orden y limpieza,M,ADM,E,147,50
148,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,M,SUS,C,148,51
149,kits de contingencia,M,EPP,C,149,52
150,Instalacion de silenciadores en ventiladores,P,ELI,B,150,52
151,guantes de cuero o anticorte.,M,INH,E,151,53
152,1. Uso de herramientas adecuadas.,M,INH,B,152,53
153,Orejeras Tapones auditivos,P,INH,B,153,53
154,1. Capacitacion en uso trabajos en pisos desnivelados 2. Realizar trabajos en equipo coordinadamente.,M,ADM,B,154,53
155,1. Senalizacion,M,INH,E,155,54
156,Respirador y filtros de polvo,P,ELI,C,156,54
157,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,EPP,E,157,54
158,lineas de vida,P,ADM,A,158,55
159,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,ELI,B,159,55
160,Descripcion,P,ELI,B,160,56
161,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,INH,B,161,56
162,1. Uso de herramientas adecuadas.,M,ADM,D,162,56
163,Timbre de operatividad Circulina de operatividad,P,ELI,C,163,57
164,Respirador y filtros de polvo,P,INH,D,164,57
165,Orejeras Tapones auditivos,P,EPP,B,165,58
166,Orejeras Tapones auditivos,P,ELI,A,166,58
167,Uso del drenaje ecologico tipo check.,P,EPP,E,167,59
168,1. Uso de herramientas adecuadas.,P,EPP,C,168,59
169,Colocacion de Barreras  Solidas,M,ADM,C,169,59
170,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,EPP,E,170,59
171,1. PETS-UCH-MG-81.07 Inspeccion electromagnetica de cable de winche de izaje.,M,EPP,D,171,60
172,1. Uso de herramientas adecuadas.,M,INH,E,172,60
173,Puntos de anclaje,M,ELI,C,173,60
174,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,ADM,E,174,60
175,Uso del drenaje ecologico tipo check.,M,INH,D,175,60
176,Probadores de energia Multitester Revelador de tension,M,ELI,E,176,61
177,Colocacion de Barreras  Solidas,M,ADM,E,177,61
178,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,EPP,D,178,61
179,1. Senalizacion,P,INH,A,179,61
180,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,ELI,D,180,61
181,Respirador y filtros de polvo,P,EPP,E,181,62
182,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,P,ADM,A,182,62
183,Capacitacion del uso de las hojas MSDS de las sustancias que se utilizaran. Uso correcto de las cartillas de mantenimiento preventivo de los equipos.,M,SUS,C,183,62
184,1. Senalizacion,P,EPP,E,184,62
185,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,INH,C,185,63
186,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,P,EPP,B,186,64
187,Zapatos de seguridad con planta de caucho o material antideslizante.,M,SUS,D,187,64
188,Colocacion de Barreras  Solidas,M,EPP,A,188,65
189,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,P,ADM,C,189,65
190,lineas de vida,M,EPP,B,190,66
191,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,ADM,B,191,66
192,Descripcion,P,INH,D,192,66
193,Timbre de operatividad Circulina de operatividad,M,ADM,C,193,66
194,Capacitacion del uso de las hojas MSDS de las sustancias que se utilizaran. Uso correcto de las cartillas de mantenimiento preventivo de los equipos.,P,ELI,D,194,67
195,1. Uso de herramientas adecuadas.,M,INH,E,195,67
196,Descripcion,P,ELI,D,196,67
197,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,P,ADM,C,197,68
198,Desenergizar y bloquear  fuente de energia,M,ELI,D,198,69
199,Zapatos de seguridad con planta de caucho o material antideslizante.,M,SUS,B,199,69
200,delimitacion de areas 2. Mantener orden y limpieza,M,INH,D,200,69
201,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,M,ADM,E,201,69
202,lineas de vida,P,SUS,E,202,69
203,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,M,INH,E,203,70
204,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico  PETAR para trabajos en caliente Verificar la ventilacion constante del ambiente de trabajo E-COR-SIB-11.02 Proteccion Respiratoria,P,ADM,A,204,70
205,Orden de Trabajo IPERC continuo realizado por operador y ayudante. Capacitacion en riesgos electricos Difusion y seguimiento al estandar E-COR-SIB-03.01 Aislamiento de Energia Difusion y seguimiento al estandar E-COR-SIB-03.03 Energia Electrica de Baja Tension,M,EPP,E,205,71
206,Casco de Seguridad,M,INH,C,206,71
207,Colocacion de Barreras  Solidas,M,ADM,E,207,72
208,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,M,INH,E,208,72
209,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,ADM,D,209,72
210,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,INH,A,210,72
211,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,M,INH,B,211,73
212,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,INH,D,212,74
213,Probadores de energia Multitester Revelador de tension,P,EPP,A,213,75
214,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,M,INH,E,214,75
215,Descripcion,P,EPP,B,215,75
216,Instalacion de silenciadores en ventiladores,P,EPP,B,216,75
217,1. Uso de herramientas adecuadas.,P,SUS,B,217,75
218,Respirador y filtros de polvo,M,INH,D,218,76
219,Probadores de energia Multitester Revelador de tension,M,ELI,E,219,76
220,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,ELI,D,220,77
221,Desenergizar y bloquear  fuente de energia,M,ADM,B,221,78
222,kits de contingencia,P,SUS,C,222,78
223,Uso del drenaje ecologico tipo check.,M,SUS,D,223,78
224,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,ELI,B,224,79
225,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,SUS,B,225,79
226,Probadores de energia Multitester Revelador de tension,P,SUS,E,226,79
227,Extintores en Zona de trabajo,P,ELI,D,227,79
228,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,M,EPP,E,228,80
229,1. Uso de herramientas adecuadas.,P,INH,C,229,80
230,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,ADM,C,230,80
231,Timbre de operatividad Circulina de operatividad,P,ADM,B,231,81
232,Respirador y filtros de polvo,P,ADM,B,232,81
233,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,P,INH,C,233,81
234,Probadores de energia Multitester Revelador de tension,P,ELI,B,234,82
235,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,EPP,D,235,82
236,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,P,ADM,E,236,83
237,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,EPP,A,237,83
238,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,M,ELI,E,238,84
239,Capacitacion del uso de las hojas MSDS de las sustancias que se utilizaran. Uso correcto de las cartillas de mantenimiento preventivo de los equipos.,M,ADM,B,239,84
240,Desenergizar y bloquear  fuente de energia,P,ADM,E,240,84
241,Descripcion,P,ADM,D,241,84
242,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,P,INH,E,242,84
243,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,EPP,C,243,85
244,Zapatos de seguridad con planta de caucho o material antideslizante.,M,ADM,A,244,85
245,Zapatos de seguridad con planta de caucho o material antideslizante.,P,INH,A,245,85
246,Uso de equipos personal de proteccion anticaidas.,M,ELI,B,246,86
247,cilindros de aserrin.,M,INH,D,247,86
248,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico  PETAR para trabajos en caliente Verificar la ventilacion constante del ambiente de trabajo E-COR-SIB-11.02 Proteccion Respiratoria,P,EPP,E,248,86
249,Descripcion,P,SUS,C,249,86
250,Probadores de energia Multitester Revelador de tension,M,SUS,C,250,87
251,guantes de cuero o anticorte.,M,ELI,D,251,87
252,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,SUS,A,252,87
253,Probadores de energia Multitester Revelador de tension,M,INH,E,253,87
254,Respirador con filtro de gases,M,INH,C,254,87
255,Puntos de anclaje,P,ADM,E,255,88
256,Respirador con filtro de gases,P,SUS,D,256,89
257,Instalacion de silenciadores en ventiladores,P,EPP,B,257,89
258,Respirador y filtros de polvo,M,INH,A,258,89
259,Zapatos de seguridad con planta de caucho o material antideslizante.,M,INH,C,259,90
260,Respirador y filtros de polvo,P,ADM,A,260,90
261,Extintores en Zona de trabajo,P,ELI,E,261,90
262,1. Bandejas,P,ELI,B,262,91
263,1. Capacitacion en uso trabajos en pisos desnivelados 2. Realizar trabajos en equipo coordinadamente.,P,EPP,C,263,91
264,Capacitacion del uso de las hojas MSDS de las sustancias que se utilizaran. Uso correcto de las cartillas de mantenimiento preventivo de los equipos.,P,ELI,B,264,91
265,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico Verificacion de la autorizacion de operatividad del equipo de izaje y del personal que lo va a maniobrar. Difusion del estandar E-COR-SIB-05.05 Equipos de Izaje y Gruas,M,EPP,C,265,92
266,1. Capacitacion en uso trabajos en pisos desnivelados 2. Realizar trabajos en equipo coordinadamente.,P,INH,B,266,92
267,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,EPP,B,267,92
268,Orejeras Tapones auditivos,M,SUS,D,268,92
269,Descripcion,P,ELI,B,269,92
270,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,EPP,C,270,93
271,1. Uso de herramientas adecuadas.,P,INH,B,271,94
272,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,INH,B,272,94
273,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,ADM,A,273,94
274,1. Uso de herramientas adecuadas.,M,INH,C,274,94
275,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,INH,E,275,95
276,Respirador y filtros de polvo,M,EPP,C,276,95
277,Uso del drenaje ecologico tipo check.,M,INH,C,277,96
278,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,EPP,A,278,96
279,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,SUS,A,279,96
280,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,M,INH,A,280,96
281,delimitacion de areas 2. Mantener orden y limpieza,M,ELI,E,281,97
282,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,EPP,D,282,97
283,Uso del drenaje ecologico tipo check.,P,SUS,D,283,97
