id_incidente,descripcion_incidente,fecha,criticidad,usuario_involucrado,medidas_tomadas
193,incidente de phishing detectado en correo,2024-07-26,alta,ana.lopez,medidas tomadas para resolver el incidente
194,ataque ddos en el servidor de la empresa,2024-09-05,baja,laura.martinez,medidas tomadas para resolver el incidente
195,explotación de vulnerabilidad en servidor web,2024-12-24,alta,ana.lopez,medidas tomadas para resolver el incidente
196,explotación de vulnerabilidad en servidor web,2024-11-20,alta,,medidas tomadas para resolver el incidente
197,explotación de vulnerabilidad en servidor web,2024-10-19,alta,laura.martinez,medidas tomadas para resolver el incidente
198,incidente de phishing detectado en correo,2024-01-31,baja,maria.gomez,medidas tomadas para resolver el incidente
199,acceso no autorizado a la red de administración,2024-03-15,media,pedro.juarez,medidas tomadas para resolver el incidente
200,problema en el sistema de autenticación,2024-04-01,alta,ana.lopez,medidas tomadas para resolver el incidente
201,acceso no autorizado a base de datos,2024-03-25,alta,jose.rodriguez,medidas tomadas para resolver el incidente
202,incidente de phishing detectado en correo,2024-08-29,baja,carlos.smith,medidas tomadas para resolver el incidente
203,ataque ddos en el servidor de la empresa,2024-02-01,alta,pedro.juarez,medidas tomadas para resolver el incidente
204,intento de acceso sospechoso a la red interna,2024-04-07,media,pedro.juarez,medidas tomadas para resolver el incidente
205,incidente de phishing detectado en correo,2024-01-06,media,laura.martinez,medidas tomadas para resolver el incidente
206,explotación de vulnerabilidad en servidor web,2024-05-18,media,pedro.juarez,medidas tomadas para resolver el incidente
207,ataque ddos en el servidor de la empresa,2024-07-31,baja,,medidas tomadas para resolver el incidente
208,incidente de phishing detectado en correo,2024-03-08,alta,jose.rodriguez,medidas tomadas para resolver el incidente
209,acceso no autorizado a la red de administración,2024-11-25,media,jose.rodriguez,medidas tomadas para resolver el incidente
210,incidente de phishing detectado en correo,2024-09-20,baja,juan.perez,medidas tomadas para resolver el incidente
211,ataque ddos en el servidor de la empresa,2024-09-10,media,carlos.smith,medidas tomadas para resolver el incidente
212,acceso no autorizado a la red de administración,2024-01-06,media,laura.martinez,medidas tomadas para resolver el incidente
213,explotación de vulnerabilidad en servidor web,2024-12-23,media,laura.martinez,medidas tomadas para resolver el incidente
214,incidente de phishing detectado en correo,2024-02-18,alta,laura.martinez,medidas tomadas para resolver el incidente
215,fallo en la autenticación de dos factores,2024-07-14,baja,pedro.juarez,medidas tomadas para resolver el incidente
216,fallo en la autenticación de dos factores,2024-06-13,alta,maria.gomez,medidas tomadas para resolver el incidente
217,fallo en la autenticación de dos factores,2024-01-14,media,jose.rodriguez,medidas tomadas para resolver el incidente
218,fallo en la autenticación de dos factores,2024-03-15,baja,jose.rodriguez,medidas tomadas para resolver el incidente
219,ataque ddos en el servidor de la empresa,2024-01-17,baja,pedro.juarez,medidas tomadas para resolver el incidente
220,acceso no autorizado a base de datos,2024-05-31,media,ana.lopez,medidas tomadas para resolver el incidente
221,intento de acceso sospechoso a la red interna,2024-04-03,alta,carlos.smith,medidas tomadas para resolver el incidente
222,ataque ddos en el servidor de la empresa,2024-08-16,media,carlos.smith,medidas tomadas para resolver el incidente
223,fallo en la autenticación de dos factores,2024-01-06,alta,juan.perez,medidas tomadas para resolver el incidente
224,problema en el sistema de autenticación,2024-03-22,alta,jose.rodriguez,medidas tomadas para resolver el incidente
225,explotación de vulnerabilidad en servidor web,2024-03-15,media,jose.rodriguez,medidas tomadas para resolver el incidente
226,fallo en la autenticación de dos factores,2024-09-23,media,juan.perez,medidas tomadas para resolver el incidente
227,intento de acceso sospechoso a la red interna,2024-02-12,media,pedro.juarez,medidas tomadas para resolver el incidente
228,incidente de phishing detectado en correo,2024-01-27,baja,juan.perez,medidas tomadas para resolver el incidente
229,ataque ddos en el servidor de la empresa,2024-12-02,media,jose.rodriguez,medidas tomadas para resolver el incidente
230,fallo en la autenticación de dos factores,2024-02-10,media,,medidas tomadas para resolver el incidente
231,intento de acceso sospechoso a la red interna,2024-06-27,baja,carlos.smith,medidas tomadas para resolver el incidente
232,ataque ddos en el servidor de la empresa,2024-10-11,alta,maria.gomez,medidas tomadas para resolver el incidente
233,fallo en la autenticación de dos factores,2024-07-22,media,,medidas tomadas para resolver el incidente
234,explotación de vulnerabilidad en servidor web,2024-02-21,baja,maria.gomez,medidas tomadas para resolver el incidente
235,ataque ddos en el servidor de la empresa,2024-01-09,baja,juan.perez,medidas tomadas para resolver el incidente
236,incidente de phishing detectado en correo,2024-12-15,media,carlos.smith,medidas tomadas para resolver el incidente
237,incidente de phishing detectado en correo,2024-05-25,alta,ana.lopez,medidas tomadas para resolver el incidente
238,acceso no autorizado a la red de administración,2024-08-24,alta,maria.gomez,medidas tomadas para resolver el incidente
239,acceso no autorizado a la red de administración,2024-05-21,baja,pedro.juarez,medidas tomadas para resolver el incidente
240,ataque ddos en el servidor de la empresa,2024-08-18,baja,,medidas tomadas para resolver el incidente
241,acceso no autorizado a base de datos,2024-12-29,baja,jose.rodriguez,medidas tomadas para resolver el incidente
242,explotación de vulnerabilidad en servidor web,2024-02-05,baja,pedro.juarez,medidas tomadas para resolver el incidente
243,fallo en la autenticación de dos factores,2024-03-28,media,,medidas tomadas para resolver el incidente
244,acceso no autorizado a base de datos,2024-06-26,baja,laura.martinez,medidas tomadas para resolver el incidente
245,explotación de vulnerabilidad en servidor web,2024-06-14,media,,medidas tomadas para resolver el incidente
246,ataque ddos en el servidor de la empresa,2024-03-21,alta,jose.rodriguez,medidas tomadas para resolver el incidente
247,ataque ddos en el servidor de la empresa,2024-08-20,media,carlos.smith,medidas tomadas para resolver el incidente
248,acceso no autorizado a la red de administración,2024-09-10,alta,maria.gomez,medidas tomadas para resolver el incidente
249,explotación de vulnerabilidad en servidor web,2024-04-08,baja,,medidas tomadas para resolver el incidente
250,ataque ddos en el servidor de la empresa,2024-04-23,media,carlos.smith,medidas tomadas para resolver el incidente
251,intento de acceso sospechoso a la red interna,2024-01-04,alta,pedro.juarez,medidas tomadas para resolver el incidente
252,intento de acceso sospechoso a la red interna,2024-09-22,baja,juan.perez,medidas tomadas para resolver el incidente
253,acceso no autorizado a base de datos,2024-01-19,media,jose.rodriguez,medidas tomadas para resolver el incidente
254,fallo en la autenticación de dos factores,2024-05-03,baja,carlos.smith,medidas tomadas para resolver el incidente
255,problema en el sistema de autenticación,2024-10-13,baja,jose.rodriguez,medidas tomadas para resolver el incidente
256,ataque ddos en el servidor de la empresa,2024-03-22,baja,ana.lopez,medidas tomadas para resolver el incidente
257,incidente de phishing detectado en correo,2024-02-08,alta,jose.rodriguez,medidas tomadas para resolver el incidente
258,ataque ddos en el servidor de la empresa,2024-03-29,baja,maria.gomez,medidas tomadas para resolver el incidente
259,acceso no autorizado a base de datos,2024-01-06,baja,carlos.smith,medidas tomadas para resolver el incidente
260,acceso no autorizado a base de datos,2024-03-27,alta,,medidas tomadas para resolver el incidente
261,intento de acceso sospechoso a la red interna,2024-04-05,alta,juan.perez,medidas tomadas para resolver el incidente
262,problema en el sistema de autenticación,2024-02-23,alta,juan.perez,medidas tomadas para resolver el incidente
263,intento de acceso sospechoso a la red interna,2024-03-31,media,,medidas tomadas para resolver el incidente
264,acceso no autorizado a base de datos,2024-02-05,baja,carlos.smith,medidas tomadas para resolver el incidente
265,acceso no autorizado a base de datos,2024-02-12,baja,maria.gomez,medidas tomadas para resolver el incidente
266,problema en el sistema de autenticación,2024-11-14,baja,,medidas tomadas para resolver el incidente
267,incidente de phishing detectado en correo,2024-09-15,baja,carlos.smith,medidas tomadas para resolver el incidente
268,acceso no autorizado a la red de administración,2024-10-28,baja,pedro.juarez,medidas tomadas para resolver el incidente
269,explotación de vulnerabilidad en servidor web,2024-08-22,alta,pedro.juarez,medidas tomadas para resolver el incidente
270,fallo en la autenticación de dos factores,2024-08-31,media,jose.rodriguez,medidas tomadas para resolver el incidente
271,ataque ddos en el servidor de la empresa,2024-11-04,media,jose.rodriguez,medidas tomadas para resolver el incidente
272,explotación de vulnerabilidad en servidor web,2024-08-02,media,carlos.smith,medidas tomadas para resolver el incidente
273,intento de acceso sospechoso a la red interna,2024-05-23,baja,jose.rodriguez,medidas tomadas para resolver el incidente
274,fallo en la autenticación de dos factores,2024-02-20,alta,pedro.juarez,medidas tomadas para resolver el incidente
275,fallo en la autenticación de dos factores,2024-09-18,baja,jose.rodriguez,medidas tomadas para resolver el incidente
276,incidente de phishing detectado en correo,2024-04-06,alta,jose.rodriguez,medidas tomadas para resolver el incidente
277,problema en el sistema de autenticación,2024-01-02,media,,medidas tomadas para resolver el incidente
278,acceso no autorizado a base de datos,2024-01-16,media,jose.rodriguez,medidas tomadas para resolver el incidente
279,explotación de vulnerabilidad en servidor web,2024-01-28,media,pedro.juarez,medidas tomadas para resolver el incidente
280,fallo en la autenticación de dos factores,2024-03-19,alta,carlos.smith,medidas tomadas para resolver el incidente
281,ataque ddos en el servidor de la empresa,2024-08-06,baja,maria.gomez,medidas tomadas para resolver el incidente
