Id_actividad,Descripcion_actividad,Id_proceso
113,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,760
114,Reparacion o cambio de brazos telescopicos y vigas,801
115,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,658
116,TRASLADO DE TABLERO CELDA O MINI BRECK,196
117,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,126
118,Cambio de boca masa,437
119,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,25
120,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,652
121,Cambio de boca masa,692
122,Cambio de labio de cuchara del Scoop,228
123,Estructura de Equipos Trackless,355
124,Estructura de Equipos Trackless,600
125,Cambio de alternador,92
126,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,584
127,Cambio de alternador,512
128,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,587
129,Cambio de MANTLE (forros),473
130,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),326
131,Cambio de la cuchara del Scoop,621
132,Cambio de rodamiento,822
133,Cambio de la cuchara del Scoop,282
134,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),795
135,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,440
136,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,679
137,Cambio de labio de cuchara del Scoop,965
138,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,664
139,Cambio de alternador,929
140,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,915
141,Cambio de la cuchara del Scoop,385
142,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),964
143,Estructura de Equipos Trackless,208
144,Estructura de Equipos Trackless,277
145,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,349
146,Cambio de rodamiento,567
147,materiales y equipos,175
148,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,707
149,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),318
150,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),863
151,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,304
152,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),226
153,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,35
154,Cambio de alternador,24
155,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,908
156,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,466
157,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),990
158,materiales y equipos,780
159,Cambio de labio de cuchara del Scoop,210
160,Cambio de colector electrico,451
161,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,245
162,Cambio de alternador,584
163,Cambio de labio de cuchara del Scoop,870
164,Reparacion o cambio de brazos telescopicos y vigas,310
165,Cambio de rodamiento,53
166,Cambio de arrancador,480
167,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,227
168,Cambio de arrancador,471
169,Cambio de la cuchara del Scoop,537
170,Reparacion o cambio de brazos telescopicos y vigas,461
171,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,437
172,Cambio de alternador,972
173,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,60
174,Cambio de arrancador,344
175,Cambio de boca masa,516
176,Cambio de MANTLE (forros),714
177,Cambio de labio de cuchara del Scoop,370
178,Cambio de alternador,853
179,Estructura de Equipos Trackless,757
180,TRASLADO DE TABLERO CELDA O MINI BRECK,970
181,Cambio de alternador,44
182,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),967
183,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,462
184,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),182
185,Cambio de colector electrico,41
186,materiales y equipos,892
187,Cambio de rodamiento,217
188,Cambio de labio de cuchara del Scoop,811
189,Cambio de rodamiento,803
190,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),446
191,Cambio de la cuchara del Scoop,494
192,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,283
193,materiales y equipos,171
194,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,495
195,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),727
196,Cambio de colector electrico,923
197,Reparacion o cambio de brazos telescopicos y vigas,472
198,Estructura de Equipos Trackless,668
199,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),467
200,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),694
201,Cambio de colector electrico,655
202,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,360
203,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),246
204,Cambio de la cuchara del Scoop,213
205,Cambio de MANTLE (forros),397
206,Cambio de boca masa,311
207,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,492
208,materiales y equipos,88
209,Cambio de MANTLE (forros),691
210,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,271
211,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),985
212,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),484
213,Cambio de arrancador,113
214,Cambio de MANTLE (forros),837
215,Cambio de labio de cuchara del Scoop,504
216,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,53
217,Cambio de arrancador,783
218,Cambio de arrancador,173
219,Suministro y traslado de herramientas,216
220,Cambio de la cuchara del Scoop,697
221,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,300
222,materiales y equipos,963
223,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,875
224,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,405
225,Estructura de Equipos Trackless,51
226,materiales y equipos,701
227,TRASLADO DE TABLERO CELDA O MINI BRECK,189
228,Cambio de alternador,4
229,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,386
230,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,368
231,Cambio de labio de cuchara del Scoop,203
232,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,84
233,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,589
234,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),319
235,Suministro y traslado de herramientas,187
236,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),644
237,Cambio de alternador,394
238,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,98
239,materiales y equipos,884
240,Cambio de boca masa,477
241,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),826
242,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,767
243,Reparacion o cambio de brazos telescopicos y vigas,381
244,Cambio de MANTLE (forros),812
245,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),611
246,Cambio de colector electrico,674
247,Cambio de MANTLE (forros),42
248,Estructura de Equipos Trackless,552
249,Estructura de Equipos Trackless,620
250,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,368
251,Cambio de rodamiento,366
252,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,347
253,Estructura de Equipos Trackless,655
254,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,766
255,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),23
256,Cambio de MANTLE (forros),631
257,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,450
258,Cambio de alternador,684
259,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,185
260,Cambio de rodamiento,919
261,Cambio de MANTLE (forros),893
262,TRASLADO DE TABLERO CELDA O MINI BRECK,222
263,Cambio de colector electrico,548
264,Cambio de la cuchara del Scoop,800
265,Cambio de colector electrico,947
266,TRASLADO DE TABLERO CELDA O MINI BRECK,627
267,Cambio de colector electrico,65
268,Cambio de la cuchara del Scoop,970
269,Cambio de MANTLE (forros),748
270,Cambio de MANTLE (forros),712
271,Cambio de boca masa,852
272,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,615
273,Cambio de MANTLE (forros),790
274,TRASLADO DE TABLERO CELDA O MINI BRECK,257
275,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),69
276,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,709
277,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,149
278,Cambio de labio de cuchara del Scoop,747
279,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,545
280,Estructura de Equipos Trackless,434
281,Cambio de MANTLE (forros),999
282,Cambio de la cuchara del Scoop,142
283,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,923
284,Cambio de colector electrico,583
285,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,874
286,materiales y equipos,415
287,Suministro y traslado de herramientas,449
288,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,198
289,Cambio de rodamiento,209
290,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,986
291,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,801
292,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,882
293,Cambio de arrancador,527
294,Cambio de boca masa,770
295,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),519
296,TRASLADO DE TABLERO CELDA O MINI BRECK,458
297,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,153
298,Estructura de Equipos Trackless,493
299,Cambio de colector electrico,473
300,Cambio de alternador,90
301,TRASLADO DE TABLERO CELDA O MINI BRECK,945
302,Cambio de rodamiento,979
303,Cambio de arrancador,721
304,Reparacion o cambio de brazos telescopicos y vigas,264
305,Cambio de arrancador,247
306,Cambio de boca masa,509
307,Suministro y traslado de herramientas,492
308,Estructura de Equipos Trackless,528
309,Cambio de arrancador,130
310,Cambio de alternador,566
311,Cambio de MANTLE (forros),635
312,Cambio de rodamiento,214
313,TRASLADO DE TABLERO CELDA O MINI BRECK,353
314,Reparacion o cambio de brazos telescopicos y vigas,208
315,materiales y equipos,74
316,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,448
317,Suministro y traslado de herramientas,230
318,Estructura de Equipos Trackless,335
319,Reparacion o cambio de brazos telescopicos y vigas,481
320,Cambio de boca masa,68
321,Cambio de boca masa,605
322,Reparacion o cambio de brazos telescopicos y vigas,175
323,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,345
324,Cambio de alternador,822
325,materiales y equipos,969
326,Reparacion o cambio de brazos telescopicos y vigas,928
327,Cambio de la cuchara del Scoop,615
328,Cambio de colector electrico,591
329,Estructura de Equipos Trackless,585
330,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,80
331,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),188
332,Cambio de arrancador,922
333,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,319
334,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),4
335,Cambio de colector electrico,830
336,Cambio de boca masa,177
337,TRASLADO DE TABLERO CELDA O MINI BRECK,336
338,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,103
339,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,286
340,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),453
341,Cambio de alternador,469
342,Cambio de rodamiento,503
343,Cambio de alternador,552
344,TRASLADO DE TABLERO CELDA O MINI BRECK,927
345,Cambio de alternador,970
346,Cambio de MANTLE (forros),591
347,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,45
348,Estructura de Equipos Trackless,409
349,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,584
350,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,713
351,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,917
352,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),921
353,Cambio de boca masa,416
354,Cambio de arrancador,177
355,Suministro y traslado de herramientas,613
356,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),787
357,Estructura de Equipos Trackless,816
358,Suministro y traslado de herramientas,266
359,Cambio de boca masa,505
360,Cambio de labio de cuchara del Scoop,551
361,Suministro y traslado de herramientas,798
362,Reparacion o cambio de brazos telescopicos y vigas,170
363,Cambio de la cuchara del Scoop,166
364,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,641
365,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,260
366,Estructura de Equipos Trackless,882
367,Reparacion o cambio de brazos telescopicos y vigas,890
368,Cambio de MANTLE (forros),457
369,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,495
370,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,305
371,Cambio de labio de cuchara del Scoop,601
372,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,223
373,Cambio de boca masa,178
374,TRASLADO DE TABLERO CELDA O MINI BRECK,583
375,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),167
376,Cambio de alternador,113
377,Cambio de labio de cuchara del Scoop,706
378,TRASLADO DE TABLERO CELDA O MINI BRECK,797
379,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,659
380,Estructura de Equipos Trackless,185
381,TRASLADO DE TABLERO CELDA O MINI BRECK,391
382,Cambio de boca masa,868
383,Estructura de Equipos Trackless,403
384,Cambio de arrancador,314
385,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),962
386,Cambio de alternador,842
387,Cambio de colector electrico,553
388,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,681
389,TRASLADO DE TABLERO CELDA O MINI BRECK,195
390,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,258
391,Cambio de la cuchara del Scoop,464
392,materiales y equipos,465
393,Cambio de boca masa,40
394,Cambio de alternador,760
395,Cambio de arrancador,614
396,Cambio de la cuchara del Scoop,574
397,Cambio de arrancador,282
398,Cambio de la cuchara del Scoop,190
399,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,208
400,TRASLADO DE TABLERO CELDA O MINI BRECK,949
401,Estructura de Equipos Trackless,751
402,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),292
403,Cambio de la cuchara del Scoop,712
404,Cambio de rodamiento,31
405,Cambio de labio de cuchara del Scoop,642
406,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),367
407,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,556
408,Estructura de Equipos Trackless,436
409,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,475
410,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),764
411,Cambio de alternador,432
412,Reparacion o cambio de brazos telescopicos y vigas,946
413,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,174
414,materiales y equipos,484
415,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,595
416,Cambio de alternador,873
417,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),325
418,Cambio de MANTLE (forros),50
419,Reparacion o cambio de brazos telescopicos y vigas,289
420,Cambio de colector electrico,140
421,Reparacion o cambio de brazos telescopicos y vigas,602
422,Cambio de la cuchara del Scoop,635
423,materiales y equipos,148
424,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),765
425,Cambio de colector electrico,173
426,materiales y equipos,289
427,Cambio de labio de cuchara del Scoop,380
428,Reparacion o cambio de brazos telescopicos y vigas,373
429,TRASLADO DE TABLERO CELDA O MINI BRECK,475
430,Cambio de labio de cuchara del Scoop,860
431,Cambio de colector electrico,885
432,materiales y equipos,214
433,Cambio de arrancador,110
434,Cambio de arrancador,776
435,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,146
436,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,110
437,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,926
438,Estructura de Equipos Trackless,57
439,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,991
440,Estructura de Equipos Trackless,374
441,materiales y equipos,905
442,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,839
443,Cambio de alternador,40
444,Cambio de la cuchara del Scoop,789
445,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,741
446,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),503
447,Cambio de colector electrico,551
448,Cambio de la cuchara del Scoop,373
449,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,113
450,Suministro y traslado de herramientas,559
451,Cambio de alternador,567
452,Cambio de la cuchara del Scoop,505
453,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),194
454,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),414
455,Cambio de colector electrico,178
456,materiales y equipos,879
457,Cambio de labio de cuchara del Scoop,851
458,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),312
459,Cambio de rodamiento,506
460,TRASLADO DE TABLERO CELDA O MINI BRECK,690
461,Cambio de alternador,3
462,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),914
463,Cambio de rodamiento,71
464,Cambio de colector electrico,694
465,Cambio de MANTLE (forros),835
466,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,357
467,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,755
468,materiales y equipos,935
469,TRASLADO DE TABLERO CELDA O MINI BRECK,580
470,TRASLADO DE TABLERO CELDA O MINI BRECK,284
471,Cambio de rodamiento,794
472,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,660
473,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,598
474,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,587
475,Cambio de arrancador,393
476,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,848
477,Cambio de alternador,781
478,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,675
479,materiales y equipos,362
480,Reparacion o cambio de brazos telescopicos y vigas,383
481,Reparacion o cambio de brazos telescopicos y vigas,704
482,Reparacion o cambio de brazos telescopicos y vigas,336
483,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,456
