"Id_Notificacion","Id_Administrador","Tipo_Evento","Fecha_Hora_Notificacion","Estado_Notificacion","Mensaje_Notificacion","Prioridad","Id_Sesion","Id_autenticacion"
"17","3","Acceso Bloqueado","2023-06-23 18:23:08","Investigando","Acceso Bloqueado detectado desde Ayacucho, Peru","Media","606","79"
"18","1","Recuperación de Contraseña","2023-08-02 22:18:14","En Proceso","Recuperación de Contraseña detectado desde Tumbes, Peru","Alta","485","391"
"19","5","Recuperación de Contraseña","2023-01-31 10:57:11","En Proceso","Recuperación de Contraseña detectado desde Tarapoto, Peru","Baja","525","567"
"20","1","Sesión Sospechosa","2024-03-06 02:51:57","Resuelta","Sesión Sospechosa detectado desde Juliaca, Peru","Media","752","259"
"21","3","Reintento de Autenticación","2024-07-30 05:14:06","En Proceso","Reintento de Autenticación detectado desde Ayacucho, Peru","Media","193","806"
"22","2","Recuperación de Contraseña","2023-12-23 00:48:36","Investigando","Recuperación de Contraseña detectado desde Cusco, Peru","Alta","706","356"
"23","2","Reintento de Autenticación","2024-10-14 04:53:48","Resuelta","Reintento de Autenticación detectado desde Tarapoto, Peru","Baja","87","593"
"24","4","Fallo de Autenticación","2024-03-11 12:41:19","En Proceso","Fallo de Autenticación detectado desde Moquegua, Peru","Alta","783","431"
"25","1","Acceso Permitido","2024-12-07 21:41:56","Enviada","Acceso Permitido detectado desde Sullana, Peru","Media","691","140"
"26","1","Inicio de Sesión No Reconocido","2024-07-23 15:15:38","En Proceso","Inicio de Sesión No Reconocido detectado desde Cajamarca, Peru","Baja","438","842"
"27","1","Acceso Bloqueado","2023-01-16 01:03:11","Leída","Acceso Bloqueado detectado desde Puerto Maldonado, Peru","Alta","595","630"
"28","2","Acceso Permitido","2024-08-31 09:08:45","Resuelta","Acceso Permitido detectado desde Chiclayo, Peru","Media","426","979"
"29","5","Acceso Bloqueado","2023-10-08 22:21:52","Enviada","Acceso Bloqueado detectado desde Tarapoto, Peru","Media","129","848"
"30","2","Intento de Hackeo","2024-06-03 15:36:59","En Proceso","Intento de Hackeo detectado desde Huaraz, Peru","Baja","50","102"
"31","3","Sesión Sospechosa","2024-01-19 12:04:30","Resuelta","Sesión Sospechosa detectado desde Puerto Maldonado, Peru","Alta","146","174"
"32","4","Acceso Permitido","2024-04-25 06:14:23","Pendiente","Acceso Permitido detectado desde Huancayo, Peru","Media","838","240"
"33","5","Inicio de Sesión No Reconocido","2024-12-08 20:49:00","Pendiente","Inicio de Sesión No Reconocido detectado desde Arequipa, Peru","Baja","261","275"
"34","4","Intento de Hackeo","2024-11-29 14:08:42","Investigando","Intento de Hackeo detectado desde Tarapoto, Peru","Media","104","250"
"35","1","Inicio de Sesión No Reconocido","2024-06-20 10:45:07","Leída","Inicio de Sesión No Reconocido detectado desde Juliaca, Peru","Alta","273","27"
"36","4","Sesión Sospechosa","2024-03-07 19:18:57","Leída","Sesión Sospechosa detectado desde Cajamarca, Peru","Media","715","635"
"37","2","Acceso Bloqueado","2023-10-22 07:10:26","Leída","Acceso Bloqueado detectado desde Huaraz, Peru","Baja","78","29"
"38","4","Fallo de Autenticación","2024-05-06 13:33:20","Leída","Fallo de Autenticación detectado desde Pucallpa, Peru","Alta","111","897"
"39","4","Intento de Hackeo","2023-07-26 00:45:51","Resuelta","Intento de Hackeo detectado desde Piura, Peru","Media","419","369"
"40","3","Fallo de Autenticación","2023-03-23 03:02:18","Leída","Fallo de Autenticación detectado desde Juliaca, Peru","Baja","502","904"
"41","4","Sesión Sospechosa","2023-01-30 19:05:57","Leída","Sesión Sospechosa detectado desde Tarapoto, Peru","Baja","267","747"
"42","2","Sesión Expirada","2024-06-10 04:45:52","Enviada","Sesión Expirada detectado desde Chiclayo, Peru","Baja","591","482"
"43","1","Fallo de Autenticación","2024-05-07 04:46:39","Enviada","Fallo de Autenticación detectado desde Arequipa, Peru","Media","750","737"
"44","1","Recuperación de Contraseña","2024-03-18 02:31:52","Investigando","Recuperación de Contraseña detectado desde Lima, Peru","Baja","657","388"
"45","4","Cambio de Contraseña","2023-04-16 20:39:12","Enviada","Cambio de Contraseña detectado desde Juliaca, Peru","Media","178","201"
"46","5","Sesión Expirada","2023-07-17 10:42:43","Enviada","Sesión Expirada detectado desde Cusco, Peru","Media","7","616"
"47","5","Inicio de Sesión No Reconocido","2023-02-02 17:25:15","Investigando","Inicio de Sesión No Reconocido detectado desde Cusco, Peru","Alta","609","845"
"48","4","Intento de Hackeo","2023-06-24 20:18:46","Pendiente","Intento de Hackeo detectado desde Piura, Peru","Alta","249","288"
"49","2","Recuperación de Contraseña","2024-07-08 16:47:44","En Proceso","Recuperación de Contraseña detectado desde Tumbes, Peru","Alta","71","76"
"50","4","Inicio de Sesión No Reconocido","2023-10-17 16:18:24","Pendiente","Inicio de Sesión No Reconocido detectado desde Huaraz, Peru","Media","521","483"
"51","1","Intento de Hackeo","2023-09-03 06:46:10","Enviada","Intento de Hackeo detectado desde Tumbes, Peru","Alta","872","583"
"52","4","Intento de Hackeo","2024-09-22 09:47:35","Leída","Intento de Hackeo detectado desde Puerto Maldonado, Peru","Media","709","927"
"53","5","Reintento de Autenticación","2023-11-12 00:00:17","Resuelta","Reintento de Autenticación detectado desde Lima, Peru","Baja","898","908"
"54","2","Sesión Sospechosa","2023-04-15 07:47:51","En Proceso","Sesión Sospechosa detectado desde Puerto Maldonado, Peru","Media","101","524"
"55","3","Cambio de Contraseña","2023-03-01 10:36:45","En Proceso","Cambio de Contraseña detectado desde Sullana, Peru","Media","637","4"
"56","3","Sesión Sospechosa","2023-10-14 05:47:17","En Proceso","Sesión Sospechosa detectado desde Tumbes, Peru","Alta","336","654"
"57","5","Inicio de Sesión No Reconocido","2024-06-12 03:01:29","Enviada","Inicio de Sesión No Reconocido detectado desde Juliaca, Peru","Baja","731","915"
"58","2","Reintento de Autenticación","2023-06-16 14:26:25","Leída","Reintento de Autenticación detectado desde Cusco, Peru","Alta","258","246"
"59","4","Reintento de Autenticación","2024-11-25 14:37:09","En Proceso","Reintento de Autenticación detectado desde Pisco, Peru","Media","131","749"
"60","4","Cambio de Contraseña","2024-03-25 16:02:12","Pendiente","Cambio de Contraseña detectado desde Huaraz, Peru","Media","796","953"
"61","1","Acceso Permitido","2024-01-08 20:25:48","En Proceso","Acceso Permitido detectado desde Huancayo, Peru","Baja","829","196"
"62","5","Cambio de Contraseña","2023-01-09 18:56:28","Pendiente","Cambio de Contraseña detectado desde Cusco, Peru","Media","396","406"
"63","3","Sesión Sospechosa","2023-01-13 12:07:26","En Proceso","Sesión Sospechosa detectado desde Cajamarca, Peru","Alta","745","70"
"64","1","Acceso Bloqueado","2024-02-08 14:14:43","Resuelta","Acceso Bloqueado detectado desde Cusco, Peru","Baja","637","649"
"65","3","Acceso Bloqueado","2024-10-17 07:50:18","Pendiente","Acceso Bloqueado detectado desde Tacna, Peru","Baja","382","3"
"66","3","Acceso Permitido","2024-01-25 22:05:50","Pendiente","Acceso Permitido detectado desde Sullana, Peru","Alta","859","332"
"67","5","Acceso Bloqueado","2023-07-05 15:05:37","En Proceso","Acceso Bloqueado detectado desde Tacna, Peru","Media","984","557"
"68","5","Sesión Sospechosa","2024-02-23 00:13:33","Enviada","Sesión Sospechosa detectado desde Trujillo, Peru","Alta","879","153"
"69","2","Sesión Expirada","2023-01-07 11:41:31","Leída","Sesión Expirada detectado desde Piura, Peru","Alta","722","586"
"70","4","Cambio de Contraseña","2023-07-31 21:07:07","Pendiente","Cambio de Contraseña detectado desde Cajamarca, Peru","Media","386","202"
"71","4","Acceso Permitido","2024-08-11 07:06:34","En Proceso","Acceso Permitido detectado desde Pisco, Peru","Media","518","934"
"72","1","Sesión Expirada","2023-10-30 18:26:33","Resuelta","Sesión Expirada detectado desde Pisco, Peru","Baja","945","415"
"73","1","Sesión Sospechosa","2023-11-30 23:23:28","Enviada","Sesión Sospechosa detectado desde Pisco, Peru","Media","174","174"
"74","1","Inicio de Sesión No Reconocido","2024-07-28 01:56:33","Pendiente","Inicio de Sesión No Reconocido detectado desde Huaraz, Peru","Baja","910","350"
"75","5","Acceso Permitido","2024-11-01 06:28:56","Investigando","Acceso Permitido detectado desde Chiclayo, Peru","Alta","801","6"
"76","2","Intento de Hackeo","2024-07-17 06:41:19","Pendiente","Intento de Hackeo detectado desde Huaraz, Peru","Media","495","866"
"77","2","Acceso Permitido","2024-01-11 23:38:10","Pendiente","Acceso Permitido detectado desde Pisco, Peru","Media","938","193"
"78","5","Acceso Permitido","2024-12-13 06:10:40","Pendiente","Acceso Permitido detectado desde Moquegua, Peru","Alta","977","573"
"79","5","Recuperación de Contraseña","2023-01-04 05:55:01","Pendiente","Recuperación de Contraseña detectado desde Tacna, Peru","Baja","161","99"
"80","2","Fallo de Autenticación","2024-08-12 15:02:29","Enviada","Fallo de Autenticación detectado desde Cusco, Peru","Media","717","638"
"81","2","Inicio de Sesión No Reconocido","2023-09-06 16:46:45","Leída","Inicio de Sesión No Reconocido detectado desde Iquitos, Peru","Media","607","160"
"82","1","Reintento de Autenticación","2023-06-23 12:22:14","Leída","Reintento de Autenticación detectado desde Pucallpa, Peru","Alta","35","155"
"83","1","Acceso Permitido","2023-07-17 04:34:15","Pendiente","Acceso Permitido detectado desde Iquitos, Peru","Media","587","626"
"84","3","Inicio de Sesión No Reconocido","2024-07-15 16:54:24","En Proceso","Inicio de Sesión No Reconocido detectado desde Juliaca, Peru","Baja","295","635"
"85","2","Acceso Bloqueado","2024-05-21 19:22:43","Leída","Acceso Bloqueado detectado desde Tacna, Peru","Alta","854","563"
"86","3","Fallo de Autenticación","2024-09-25 11:31:59","Enviada","Fallo de Autenticación detectado desde Piura, Peru","Media","90","364"
"87","4","Cambio de Contraseña","2023-11-04 04:02:00","Enviada","Cambio de Contraseña detectado desde Tacna, Peru","Alta","20","155"
"88","1","Acceso Bloqueado","2024-02-12 05:03:05","Leída","Acceso Bloqueado detectado desde Arequipa, Peru","Alta","871","797"
"89","1","Recuperación de Contraseña","2024-02-03 09:30:46","Investigando","Recuperación de Contraseña detectado desde Pucallpa, Peru","Media","656","215"
"90","3","Recuperación de Contraseña","2024-12-17 02:43:35","Resuelta","Recuperación de Contraseña detectado desde Pisco, Peru","Alta","107","968"
"91","4","Acceso Permitido","2024-01-02 16:26:26","En Proceso","Acceso Permitido detectado desde Tumbes, Peru","Media","378","844"
"92","1","Reintento de Autenticación","2024-12-15 08:40:50","Enviada","Reintento de Autenticación detectado desde Cajamarca, Peru","Baja","632","504"
"93","1","Acceso Permitido","2023-08-13 23:54:12","Investigando","Acceso Permitido detectado desde Lima, Peru","Alta","447","166"
"94","2","Acceso Bloqueado","2023-12-16 21:53:51","Leída","Acceso Bloqueado detectado desde Huancayo, Peru","Media","19","140"
"95","1","Sesión Sospechosa","2023-11-05 21:18:58","En Proceso","Sesión Sospechosa detectado desde Tarapoto, Peru","Baja","530","643"
"96","5","Reintento de Autenticación","2023-06-28 14:10:15","Investigando","Reintento de Autenticación detectado desde Trujillo, Peru","Baja","344","554"
"97","1","Sesión Sospechosa","2024-05-03 02:47:09","Leída","Sesión Sospechosa detectado desde Piura, Peru","Media","25","253"
"98","2","Inicio de Sesión No Reconocido","2023-12-06 18:21:44","Resuelta","Inicio de Sesión No Reconocido detectado desde Cajamarca, Peru","Alta","61","695"
"99","3","Fallo de Autenticación","2024-02-29 12:10:29","Investigando","Fallo de Autenticación detectado desde Pisco, Peru","Baja","586","711"
"100","4","Acceso Bloqueado","2024-11-11 08:44:59","Resuelta","Acceso Bloqueado detectado desde Iquitos, Peru","Media","519","188"
"101","3","Intento de Hackeo","2024-05-10 07:16:08","En Proceso","Intento de Hackeo detectado desde Cajamarca, Peru","Alta","593","609"
"102","1","Recuperación de Contraseña","2023-09-09 05:11:11","Investigando","Recuperación de Contraseña detectado desde Cusco, Peru","Baja","20","370"
"103","1","Recuperación de Contraseña","2023-12-16 04:04:00","Enviada","Recuperación de Contraseña detectado desde Arequipa, Peru","Baja","814","640"
"104","3","Intento de Hackeo","2023-05-16 23:16:33","Resuelta","Intento de Hackeo detectado desde Huaraz, Peru","Media","846","415"
"105","2","Cambio de Contraseña","2023-05-27 00:52:00","Leída","Cambio de Contraseña detectado desde Ayacucho, Peru","Alta","516","293"
"106","4","Sesión Expirada","2023-03-03 19:11:54","Resuelta","Sesión Expirada detectado desde Tarapoto, Peru","Alta","144","679"
"107","4","Cambio de Contraseña","2024-05-30 08:55:08","Leída","Cambio de Contraseña detectado desde Arequipa, Peru","Media","586","424"
"108","3","Fallo de Autenticación","2023-03-25 13:34:38","Investigando","Fallo de Autenticación detectado desde Trujillo, Peru","Alta","791","472"
"109","1","Intento de Hackeo","2023-03-29 22:03:39","Resuelta","Intento de Hackeo detectado desde Iquitos, Peru","Media","19","351"
"110","5","Reintento de Autenticación","2023-12-31 19:52:47","En Proceso","Reintento de Autenticación detectado desde Piura, Peru","Media","826","817"
"111","4","Sesión Sospechosa","2023-07-27 08:04:23","Enviada","Sesión Sospechosa detectado desde Piura, Peru","Alta","308","937"
"112","2","Acceso Bloqueado","2023-02-05 08:56:54","Investigando","Acceso Bloqueado detectado desde Juliaca, Peru","Alta","549","763"
"113","5","Acceso Bloqueado","2023-07-13 14:38:36","Leída","Acceso Bloqueado detectado desde Trujillo, Peru","Alta","528","683"
"114","2","Intento de Hackeo","2024-11-21 10:26:58","Enviada","Intento de Hackeo detectado desde Sullana, Peru","Media","887","679"
"115","4","Cambio de Contraseña","2024-04-30 09:33:53","En Proceso","Cambio de Contraseña detectado desde Puerto Maldonado, Peru","Alta","153","463"
"116","1","Intento de Hackeo","2024-09-13 16:53:05","Resuelta","Intento de Hackeo detectado desde Tacna, Peru","Media","810","301"
"117","4","Acceso Permitido","2023-07-20 14:28:49","Pendiente","Acceso Permitido detectado desde Tarapoto, Peru","Baja","382","378"
"118","1","Inicio de Sesión No Reconocido","2024-12-11 08:36:14","Investigando","Inicio de Sesión No Reconocido detectado desde Puerto Maldonado, Peru","Alta","984","158"
"119","2","Acceso Bloqueado","2024-03-24 19:54:02","Investigando","Acceso Bloqueado detectado desde Iquitos, Peru","Baja","987","405"
"120","4","Acceso Bloqueado","2023-05-17 16:00:17","En Proceso","Acceso Bloqueado detectado desde Huaraz, Peru","Alta","330","94"
"121","5","Cambio de Contraseña","2023-12-28 22:39:52","En Proceso","Cambio de Contraseña detectado desde Tacna, Peru","Baja","37","294"
"122","5","Acceso Permitido","2024-09-25 23:25:46","Resuelta","Acceso Permitido detectado desde Arequipa, Peru","Media","768","145"
"123","1","Acceso Bloqueado","2023-10-15 23:39:53","En Proceso","Acceso Bloqueado detectado desde Tumbes, Peru","Media","716","920"
"124","3","Intento de Hackeo","2024-12-28 20:12:12","Leída","Intento de Hackeo detectado desde Cajamarca, Peru","Alta","199","310"
"125","1","Fallo de Autenticación","2023-06-07 01:26:50","Leída","Fallo de Autenticación detectado desde Puerto Maldonado, Peru","Media","892","924"
"126","4","Sesión Sospechosa","2024-05-01 11:59:55","Pendiente","Sesión Sospechosa detectado desde Tacna, Peru","Alta","238","600"
"127","5","Intento de Hackeo","2023-11-17 21:18:26","Resuelta","Intento de Hackeo detectado desde Arequipa, Peru","Alta","364","849"
"128","5","Acceso Bloqueado","2023-08-07 06:07:00","Leída","Acceso Bloqueado detectado desde Sullana, Peru","Media","293","834"
"129","3","Recuperación de Contraseña","2024-03-11 13:36:45","Investigando","Recuperación de Contraseña detectado desde Lima, Peru","Media","235","171"
"130","2","Acceso Bloqueado","2023-09-11 17:55:52","Leída","Acceso Bloqueado detectado desde Ayacucho, Peru","Alta","534","404"
"131","5","Sesión Sospechosa","2024-07-06 11:44:19","Enviada","Sesión Sospechosa detectado desde Puerto Maldonado, Peru","Alta","653","766"
"132","3","Cambio de Contraseña","2023-09-10 14:43:47","Investigando","Cambio de Contraseña detectado desde Tarapoto, Peru","Alta","28","859"
"133","4","Recuperación de Contraseña","2024-06-21 18:48:07","En Proceso","Recuperación de Contraseña detectado desde Moquegua, Peru","Media","652","595"
"134","5","Acceso Permitido","2024-04-19 18:06:47","Pendiente","Acceso Permitido detectado desde Ayacucho, Peru","Baja","36","504"
"135","4","Cambio de Contraseña","2024-07-10 09:36:35","En Proceso","Cambio de Contraseña detectado desde Huancayo, Peru","Alta","942","485"
"136","4","Acceso Permitido","2023-08-09 22:44:27","Investigando","Acceso Permitido detectado desde Cusco, Peru","Baja","698","427"
"137","3","Acceso Permitido","2023-09-08 00:10:20","En Proceso","Acceso Permitido detectado desde Tarapoto, Peru","Baja","266","162"
"138","5","Fallo de Autenticación","2023-06-15 15:56:18","En Proceso","Fallo de Autenticación detectado desde Piura, Peru","Alta","842","676"
"139","2","Cambio de Contraseña","2023-08-11 04:17:01","Enviada","Cambio de Contraseña detectado desde Pucallpa, Peru","Media","71","138"
"140","5","Reintento de Autenticación","2023-07-03 00:47:28","Resuelta","Reintento de Autenticación detectado desde Pucallpa, Peru","Baja","794","932"
"141","1","Reintento de Autenticación","2024-09-23 22:05:41","En Proceso","Reintento de Autenticación detectado desde Huancayo, Peru","Media","743","599"
"142","5","Recuperación de Contraseña","2024-01-17 09:38:21","Leída","Recuperación de Contraseña detectado desde Pucallpa, Peru","Baja","808","996"
"143","2","Intento de Hackeo","2024-09-21 20:54:52","En Proceso","Intento de Hackeo detectado desde Cusco, Peru","Alta","823","732"
"144","1","Reintento de Autenticación","2023-11-23 05:30:09","En Proceso","Reintento de Autenticación detectado desde Lima, Peru","Alta","237","853"
"145","4","Fallo de Autenticación","2024-07-19 22:30:16","Pendiente","Fallo de Autenticación detectado desde Tumbes, Peru","Baja","623","534"
"146","2","Sesión Expirada","2024-11-22 17:10:48","En Proceso","Sesión Expirada detectado desde Pisco, Peru","Media","846","413"
"147","4","Recuperación de Contraseña","2024-08-17 18:59:26","Investigando","Recuperación de Contraseña detectado desde Piura, Peru","Baja","807","392"
"148","4","Sesión Sospechosa","2024-03-29 09:27:54","Leída","Sesión Sospechosa detectado desde Tumbes, Peru","Media","601","280"
"149","1","Reintento de Autenticación","2023-05-02 10:17:40","Pendiente","Reintento de Autenticación detectado desde Sullana, Peru","Baja","687","722"
"150","5","Recuperación de Contraseña","2024-08-23 00:26:04","Resuelta","Recuperación de Contraseña detectado desde Pisco, Peru","Media","438","27"
"151","2","Inicio de Sesión No Reconocido","2023-02-24 06:12:10","En Proceso","Inicio de Sesión No Reconocido detectado desde Iquitos, Peru","Alta","680","52"
"152","4","Cambio de Contraseña","2023-08-27 03:19:00","Investigando","Cambio de Contraseña detectado desde Juliaca, Peru","Media","921","605"
"153","5","Cambio de Contraseña","2023-09-17 08:33:02","Resuelta","Cambio de Contraseña detectado desde Ayacucho, Peru","Baja","796","284"
"154","2","Acceso Permitido","2023-04-20 16:47:53","Enviada","Acceso Permitido detectado desde Piura, Peru","Baja","401","362"
"155","5","Sesión Expirada","2023-11-26 10:46:54","Resuelta","Sesión Expirada detectado desde Puerto Maldonado, Peru","Baja","596","406"
"156","3","Acceso Permitido","2024-05-03 22:17:56","Enviada","Acceso Permitido detectado desde Moquegua, Peru","Alta","787","707"
"157","3","Recuperación de Contraseña","2024-05-25 21:53:04","En Proceso","Recuperación de Contraseña detectado desde Tarapoto, Peru","Media","938","765"
"158","3","Sesión Expirada","2023-04-24 04:02:07","Enviada","Sesión Expirada detectado desde Chiclayo, Peru","Media","248","152"
"159","2","Acceso Permitido","2024-11-25 03:27:01","Pendiente","Acceso Permitido detectado desde Pisco, Peru","Alta","59","324"
"160","2","Acceso Permitido","2023-10-30 05:42:21","En Proceso","Acceso Permitido detectado desde Pucallpa, Peru","Baja","742","317"
"161","4","Fallo de Autenticación","2023-03-30 14:21:34","Pendiente","Fallo de Autenticación detectado desde Tarapoto, Peru","Alta","444","867"
"162","5","Intento de Hackeo","2023-09-17 10:07:50","Investigando","Intento de Hackeo detectado desde Juliaca, Peru","Baja","461","783"
"163","2","Intento de Hackeo","2024-02-13 17:52:48","Leída","Intento de Hackeo detectado desde Iquitos, Peru","Media","290","904"
"164","3","Fallo de Autenticación","2024-12-05 14:25:21","Resuelta","Fallo de Autenticación detectado desde Tumbes, Peru","Media","570","747"
"165","2","Cambio de Contraseña","2024-04-16 20:40:11","Leída","Cambio de Contraseña detectado desde Pucallpa, Peru","Baja","759","514"
"166","3","Reintento de Autenticación","2024-02-16 05:21:14","Resuelta","Reintento de Autenticación detectado desde Ayacucho, Peru","Baja","451","78"
"167","2","Fallo de Autenticación","2024-07-09 01:54:32","Resuelta","Fallo de Autenticación detectado desde Trujillo, Peru","Baja","516","202"
"168","2","Reintento de Autenticación","2024-03-03 17:02:21","En Proceso","Reintento de Autenticación detectado desde Iquitos, Peru","Media","747","998"
"169","4","Reintento de Autenticación","2024-08-07 02:02:06","Pendiente","Reintento de Autenticación detectado desde Moquegua, Peru","Media","374","357"
"170","4","Inicio de Sesión No Reconocido","2023-07-30 02:14:13","En Proceso","Inicio de Sesión No Reconocido detectado desde Chiclayo, Peru","Baja","405","559"
"171","2","Acceso Bloqueado","2023-01-30 02:14:15","Leída","Acceso Bloqueado detectado desde Lima, Peru","Alta","317","347"
"172","5","Inicio de Sesión No Reconocido","2024-01-24 09:53:52","En Proceso","Inicio de Sesión No Reconocido detectado desde Trujillo, Peru","Baja","926","918"
"173","3","Sesión Expirada","2023-09-17 16:05:17","En Proceso","Sesión Expirada detectado desde Trujillo, Peru","Baja","68","866"
"174","4","Acceso Permitido","2024-12-25 21:56:45","Enviada","Acceso Permitido detectado desde Huaraz, Peru","Media","492","956"
"175","5","Intento de Hackeo","2023-11-11 14:40:32","En Proceso","Intento de Hackeo detectado desde Lima, Peru","Alta","355","578"
"176","2","Sesión Sospechosa","2023-04-25 03:57:30","Enviada","Sesión Sospechosa detectado desde Puerto Maldonado, Peru","Media","142","812"
"177","2","Cambio de Contraseña","2024-10-18 09:53:33","Investigando","Cambio de Contraseña detectado desde Arequipa, Peru","Baja","843","491"
"178","3","Acceso Permitido","2024-09-21 14:05:18","Enviada","Acceso Permitido detectado desde Puerto Maldonado, Peru","Alta","244","747"
"179","5","Fallo de Autenticación","2024-05-05 12:27:58","Resuelta","Fallo de Autenticación detectado desde Huaraz, Peru","Media","698","105"
"180","3","Acceso Permitido","2023-05-15 05:33:53","Pendiente","Acceso Permitido detectado desde Moquegua, Peru","Alta","899","691"
"181","5","Fallo de Autenticación","2024-06-29 15:57:34","Leída","Fallo de Autenticación detectado desde Chiclayo, Peru","Baja","105","482"
"182","5","Inicio de Sesión No Reconocido","2023-08-11 20:56:44","Pendiente","Inicio de Sesión No Reconocido detectado desde Cajamarca, Peru","Baja","231","697"
"183","2","Recuperación de Contraseña","2024-10-22 04:07:04","Investigando","Recuperación de Contraseña detectado desde Cajamarca, Peru","Media","750","685"
"184","2","Reintento de Autenticación","2024-06-13 23:04:48","Leída","Reintento de Autenticación detectado desde Cajamarca, Peru","Baja","585","73"
"185","5","Recuperación de Contraseña","2023-01-26 02:47:38","Leída","Recuperación de Contraseña detectado desde Iquitos, Peru","Baja","672","264"
"186","5","Recuperación de Contraseña","2023-12-07 17:19:28","Investigando","Recuperación de Contraseña detectado desde Piura, Peru","Alta","261","801"
"187","3","Sesión Sospechosa","2024-08-04 19:04:46","Investigando","Sesión Sospechosa detectado desde Moquegua, Peru","Alta","328","411"
"188","1","Cambio de Contraseña","2023-12-30 16:16:49","Resuelta","Cambio de Contraseña detectado desde Trujillo, Peru","Alta","65","155"
"189","4","Inicio de Sesión No Reconocido","2023-05-21 10:51:00","Resuelta","Inicio de Sesión No Reconocido detectado desde Puerto Maldonado, Peru","Media","988","182"
"190","1","Sesión Expirada","2024-06-09 19:37:06","En Proceso","Sesión Expirada detectado desde Piura, Peru","Alta","969","995"
"191","2","Cambio de Contraseña","2024-01-23 08:58:31","Resuelta","Cambio de Contraseña detectado desde Cusco, Peru","Baja","621","982"
"192","4","Reintento de Autenticación","2023-05-28 09:49:15","Investigando","Reintento de Autenticación detectado desde Huaraz, Peru","Baja","165","340"
"193","5","Cambio de Contraseña","2023-02-06 10:39:02","Investigando","Cambio de Contraseña detectado desde Sullana, Peru","Baja","419","479"
"194","2","Fallo de Autenticación","2024-04-28 02:25:35","En Proceso","Fallo de Autenticación detectado desde Cusco, Peru","Baja","316","521"
"195","4","Sesión Expirada","2024-01-02 01:08:48","Leída","Sesión Expirada detectado desde Sullana, Peru","Media","60","171"
"196","2","Acceso Permitido","2023-05-05 13:53:44","Investigando","Acceso Permitido detectado desde Cusco, Peru","Alta","779","954"
"197","1","Inicio de Sesión No Reconocido","2024-03-20 17:59:53","Pendiente","Inicio de Sesión No Reconocido detectado desde Lima, Peru","Alta","482","249"
"198","4","Sesión Sospechosa","2023-01-11 19:56:04","En Proceso","Sesión Sospechosa detectado desde Huancayo, Peru","Alta","772","848"
"199","4","Sesión Expirada","2023-03-03 12:09:55","Resuelta","Sesión Expirada detectado desde Iquitos, Peru","Media","609","940"
"200","1","Acceso Permitido","2024-04-19 01:17:36","Resuelta","Acceso Permitido detectado desde Arequipa, Peru","Baja","345","352"
"201","5","Recuperación de Contraseña","2024-07-14 13:28:54","Resuelta","Recuperación de Contraseña detectado desde Pisco, Peru","Alta","292","171"
"202","5","Reintento de Autenticación","2023-04-07 01:53:49","En Proceso","Reintento de Autenticación detectado desde Huaraz, Peru","Baja","212","34"
