Id_Sesion,Id_autenticacion,Estado_sesion,Direccion_mac,Tipo_Dispositivo,Fecha_Hora_sospecha,Direccion_ip,Ubicacion,Acciones_tomadas
58,58,3,F6:13:0F:4B:3D:3F,Tablet,2024-01-01 19:56:21,192.168.0.180,Ubicacion_3,Accion_3
59,59,1,26:6B:10:F1:3C:A2,Smartphone,2024-01-01 03:04:25,192.168.0.102,Ubicacion_21,Accion_3
60,60,2,68:0F:90:1A:E1:C0,Tablet,2024-01-01 17:27:18,192.168.0.52,Ubicacion_33,Accion_1
61,61,1,EE:84:7B:82:A3:76,Smartphone,2024-01-01 18:21:30,192.168.0.241,Ubicacion_22,Accion_2
62,62,2,B7:13:6A:6E:10:29,PC,2024-01-01 22:34:31,192.168.0.181,Ubicacion_16,Accion_5
63,63,3,5D:07:DD:95:91:4D,Tablet,2024-01-01 02:00:31,192.168.0.170,Ubicacion_9,Accion_4
64,64,1,3C:AD:77:70:77:26,PC,2024-01-01 00:22:50,192.168.0.197,Ubicacion_9,Accion_3
65,65,3,D0:A4:20:FF:A9:6E,PC,2024-01-01 21:02:53,192.168.0.106,Ubicacion_12,Accion_1
66,66,1,E5:76:C3:6A:BF:A2,Smartphone,2024-01-01 22:47:41,192.168.0.130,Ubicacion_1,Accion_4
67,67,1,37:91:7A:81:74:50,PC,2024-01-01 16:08:30,192.168.0.6,Ubicacion_4,Accion_2
68,68,3,09:0B:BE:50:E3:5A,Tablet,2024-01-01 16:55:23,192.168.0.224,Ubicacion_27,Accion_4
69,69,3,3B:58:55:94:CF:DF,Smartphone,2024-01-01 13:20:50,192.168.0.65,Ubicacion_15,Accion_2
70,70,2,68:34:5F:DD:9C:2E,Tablet,2024-01-01 06:21:53,192.168.0.24,Ubicacion_38,Accion_2
71,71,1,9C:FE:A1:48:DC:9C,Smartphone,2024-01-01 06:19:03,192.168.0.134,Ubicacion_23,Accion_1
72,72,2,10:87:0A:49:05:4D,Smartphone,2024-01-01 09:47:48,192.168.0.221,Ubicacion_4,Accion_1
73,73,3,80:D7:66:78:28:61,Tablet,2024-01-01 11:39:47,192.168.0.41,Ubicacion_8,Accion_3
74,74,2,80:75:B3:5D:1A:0F,PC,2024-01-01 16:13:52,192.168.0.199,Ubicacion_30,Accion_3
75,75,2,FD:D5:17:38:46:95,Tablet,2024-01-01 04:08:43,192.168.0.236,Ubicacion_27,Accion_4
76,76,1,E8:38:76:60:95:21,Smartphone,2024-01-01 11:06:04,192.168.0.43,Ubicacion_27,Accion_1
77,77,1,5B:F9:29:B2:E8:F0,PC,2024-01-01 18:25:30,192.168.0.1,Ubicacion_32,Accion_3
78,78,2,6E:55:F8:B0:1C:CF,Tablet,2024-01-01 15:29:17,192.168.0.108,Ubicacion_35,Accion_2
79,79,1,F3:EA:A5:B6:30:80,PC,2024-01-01 13:54:27,192.168.0.133,Ubicacion_14,Accion_5
80,80,1,C0:39:B7:BE:9F:6D,Tablet,2024-01-01 11:32:01,192.168.0.58,Ubicacion_7,Accion_4
81,81,2,9B:CB:7D:B2:A7:3B,Tablet,2024-01-01 18:19:36,192.168.0.179,Ubicacion_1,Accion_2
82,82,2,6D:02:98:27:6C:47,Smartphone,2024-01-01 23:52:12,192.168.0.229,Ubicacion_11,Accion_5
83,83,1,07:CE:5B:56:EE:AE,Tablet,2024-01-01 15:12:57,192.168.0.235,Ubicacion_5,Accion_4
84,84,3,32:1A:33:1D:E0:F0,PC,2024-01-01 15:50:58,192.168.0.24,Ubicacion_46,Accion_3
85,85,2,F9:70:76:F4:B3:0E,PC,2024-01-01 14:57:12,192.168.0.241,Ubicacion_7,Accion_1
86,86,2,90:6F:98:3C:B9:85,Smartphone,2024-01-01 09:22:23,192.168.0.193,Ubicacion_3,Accion_4
87,87,1,4B:C8:48:57:6E:73,Smartphone,2024-01-01 22:59:22,192.168.0.111,Ubicacion_41,Accion_5
88,88,2,36:1B:DF:CD:1E:37,PC,2024-01-01 19:08:16,192.168.0.75,Ubicacion_32,Accion_1
89,89,3,9A:34:49:54:9D:FD,Smartphone,2024-01-01 15:09:45,192.168.0.232,Ubicacion_14,Accion_1
90,90,1,42:5B:49:08:A8:9B,PC,2024-01-01 02:46:48,192.168.0.228,Ubicacion_44,Accion_1
91,91,2,0B:76:57:2D:58:78,PC,2024-01-01 12:46:22,192.168.0.154,Ubicacion_21,Accion_4
92,92,3,53:12:61:DE:F7:D5,Smartphone,2024-01-01 18:19:02,192.168.0.121,Ubicacion_15,Accion_1
93,93,3,6A:DD:1F:D3:0B:C5,PC,2024-01-01 18:44:11,192.168.0.100,Ubicacion_11,Accion_2
94,94,3,FC:8C:89:E2:45:D4,Smartphone,2024-01-01 18:24:57,192.168.0.158,Ubicacion_29,Accion_1
95,95,3,80:BB:6B:DF:1B:8F,Tablet,2024-01-01 23:53:37,192.168.0.132,Ubicacion_40,Accion_3
96,96,1,6A:9E:37:01:20:37,PC,2024-01-01 11:47:44,192.168.0.101,Ubicacion_42,Accion_5
97,97,2,2D:60:C2:E7:03:24,Tablet,2024-01-01 00:12:35,192.168.0.97,Ubicacion_45,Accion_3
98,98,3,DC:3E:04:6C:68:38,PC,2024-01-01 15:46:25,192.168.0.82,Ubicacion_4,Accion_1
99,99,3,94:8D:2B:AD:62:FD,Smartphone,2024-01-01 00:21:53,192.168.0.46,Ubicacion_4,Accion_3
100,100,2,EA:AD:56:7C:A8:DD,Tablet,2024-01-01 20:29:46,192.168.0.228,Ubicacion_45,Accion_3
101,101,2,70:A2:56:8F:83:33,Tablet,2024-01-01 14:30:18,192.168.0.165,Ubicacion_29,Accion_4
102,102,2,B1:E8:4B:14:BC:DF,Smartphone,2024-01-01 02:08:51,192.168.0.155,Ubicacion_50,Accion_1
103,103,2,97:F7:69:F9:CE:F1,PC,2024-01-01 21:51:37,192.168.0.79,Ubicacion_30,Accion_3
104,104,1,F3:77:00:4C:2A:06,Smartphone,2024-01-01 13:06:19,192.168.0.180,Ubicacion_38,Accion_5
105,105,1,00:F2:7C:25:75:D6,PC,2024-01-01 21:38:52,192.168.0.172,Ubicacion_31,Accion_3
106,106,3,28:D1:D7:93:03:8B,Smartphone,2024-01-01 23:38:02,192.168.0.205,Ubicacion_21,Accion_4
107,107,2,73:D4:F9:45:D8:31,PC,2024-01-01 21:45:54,192.168.0.60,Ubicacion_31,Accion_5
108,108,1,B9:B8:C6:ED:AD:F8,Tablet,2024-01-01 22:08:52,192.168.0.216,Ubicacion_34,Accion_5
109,109,2,45:86:62:2F:2F:C1,Smartphone,2024-01-01 15:30:12,192.168.0.87,Ubicacion_37,Accion_3
110,110,3,E4:74:46:C9:D7:DA,Smartphone,2024-01-01 08:22:24,192.168.0.185,Ubicacion_43,Accion_3
111,111,3,6C:17:C8:6B:76:E0,PC,2024-01-01 08:03:34,192.168.0.207,Ubicacion_30,Accion_1
112,112,3,D8:8D:0F:27:B9:B5,Smartphone,2024-01-01 23:06:40,192.168.0.242,Ubicacion_21,Accion_1
113,113,1,FD:3D:74:43:B0:54,PC,2024-01-01 23:13:57,192.168.0.64,Ubicacion_16,Accion_4
114,114,3,56:86:61:A9:23:9B,Tablet,2024-01-01 12:52:02,192.168.0.169,Ubicacion_42,Accion_5
115,115,3,5F:0B:57:5B:6C:D8,Smartphone,2024-01-01 02:11:46,192.168.0.167,Ubicacion_28,Accion_5
116,116,2,77:CC:52:9F:36:C3,Tablet,2024-01-01 18:23:00,192.168.0.33,Ubicacion_33,Accion_5
117,117,3,A8:9D:AE:89:26:6D,Tablet,2024-01-01 21:57:00,192.168.0.140,Ubicacion_28,Accion_3
118,118,2,87:BE:B1:3D:F0:D8,Tablet,2024-01-01 10:28:07,192.168.0.244,Ubicacion_23,Accion_2
119,119,2,49:DB:45:5C:88:ED,Smartphone,2024-01-01 17:16:13,192.168.0.130,Ubicacion_43,Accion_4
120,120,2,A9:C7:A3:A7:BB:48,Smartphone,2024-01-01 11:04:19,192.168.0.227,Ubicacion_12,Accion_2
121,121,2,15:2A:80:83:F2:D7,PC,2024-01-01 03:58:51,192.168.0.20,Ubicacion_35,Accion_1
122,122,3,AD:F7:8B:FB:64:23,Smartphone,2024-01-01 10:08:31,192.168.0.240,Ubicacion_6,Accion_1
123,123,1,0B:BD:2E:66:14:66,Tablet,2024-01-01 03:17:16,192.168.0.214,Ubicacion_28,Accion_4
124,124,2,D5:25:6A:4D:38:B5,Tablet,2024-01-01 02:48:59,192.168.0.7,Ubicacion_34,Accion_3
125,125,3,74:BC:9A:A7:A1:02,Tablet,2024-01-01 20:24:45,192.168.0.234,Ubicacion_44,Accion_3
126,126,2,D4:E8:CE:F0:F8:9B,PC,2024-01-01 23:44:57,192.168.0.123,Ubicacion_1,Accion_1
127,127,2,87:5A:72:5F:04:A4,PC,2024-01-01 09:44:28,192.168.0.91,Ubicacion_10,Accion_4
128,128,1,DB:84:3C:5D:DF:31,Smartphone,2024-01-01 23:54:01,192.168.0.8,Ubicacion_2,Accion_4
129,129,2,E3:88:20:82:6B:33,Smartphone,2024-01-01 10:55:58,192.168.0.128,Ubicacion_33,Accion_1
130,130,1,9C:14:42:86:3E:E7,Smartphone,2024-01-01 12:51:54,192.168.0.84,Ubicacion_32,Accion_2
131,131,2,E6:A2:F5:B0:0F:CE,PC,2024-01-01 13:58:07,192.168.0.52,Ubicacion_24,Accion_1
132,132,3,35:15:A8:1E:C9:25,Tablet,2024-01-01 12:05:56,192.168.0.9,Ubicacion_5,Accion_5
133,133,2,BB:22:15:22:5A:B6,Smartphone,2024-01-01 00:52:44,192.168.0.109,Ubicacion_19,Accion_1
134,134,1,A3:3F:3D:F0:8A:80,Smartphone,2024-01-01 02:54:25,192.168.0.231,Ubicacion_1,Accion_2
135,135,2,63:E5:16:73:64:84,Smartphone,2024-01-01 17:06:44,192.168.0.248,Ubicacion_50,Accion_5
136,136,1,3C:5F:9E:45:85:7F,Smartphone,2024-01-01 07:35:54,192.168.0.47,Ubicacion_49,Accion_3
137,137,2,81:7F:EB:95:B7:AF,Tablet,2024-01-01 14:12:34,192.168.0.23,Ubicacion_43,Accion_3
138,138,3,F5:DB:8A:4C:74:F9,Tablet,2024-01-01 08:01:17,192.168.0.233,Ubicacion_10,Accion_3
139,139,1,2C:01:DB:75:BD:FE,Smartphone,2024-01-01 05:54:29,192.168.0.195,Ubicacion_5,Accion_5
140,140,3,94:2B:13:02:BA:83,Tablet,2024-01-01 20:14:54,192.168.0.240,Ubicacion_1,Accion_3
141,141,3,20:C2:EB:CF:0F:4A,PC,2024-01-01 13:55:56,192.168.0.211,Ubicacion_50,Accion_4
142,142,3,A8:47:46:E2:E1:AD,Smartphone,2024-01-01 06:34:09,192.168.0.161,Ubicacion_45,Accion_4
143,143,1,E5:EE:F2:EA:A2:C9,Smartphone,2024-01-01 21:31:14,192.168.0.29,Ubicacion_11,Accion_1
144,144,2,C6:77:99:79:85:3D,PC,2024-01-01 15:16:37,192.168.0.253,Ubicacion_48,Accion_4
145,145,3,E2:F6:92:26:36:2C,Smartphone,2024-01-01 04:08:34,192.168.0.183,Ubicacion_9,Accion_4
146,146,1,32:C6:B6:4F:D2:29,Smartphone,2024-01-01 10:49:23,192.168.0.132,Ubicacion_29,Accion_4
147,147,2,ED:0A:9D:E2:F2:3F,Tablet,2024-01-01 22:03:46,192.168.0.116,Ubicacion_27,Accion_4
148,148,3,F2:47:AC:9C:DB:B4,PC,2024-01-01 13:57:38,192.168.0.46,Ubicacion_36,Accion_5
149,149,2,22:CA:71:C6:61:83,Smartphone,2024-01-01 07:08:20,192.168.0.186,Ubicacion_14,Accion_5
150,150,3,84:79:F0:FC:CB:6F,PC,2024-01-01 16:48:45,192.168.0.221,Ubicacion_24,Accion_4
151,151,1,29:46:F3:76:46:18,Smartphone,2024-01-01 22:22:45,192.168.0.129,Ubicacion_12,Accion_2
152,152,2,A9:32:22:A9:D9:C5,Tablet,2024-01-01 15:52:58,192.168.0.209,Ubicacion_27,Accion_5
153,153,2,DF:43:49:44:B4:13,PC,2024-01-01 16:20:10,192.168.0.229,Ubicacion_41,Accion_4
154,154,3,D9:6E:E9:4D:9F:64,PC,2024-01-01 20:11:01,192.168.0.136,Ubicacion_50,Accion_5
155,155,1,51:62:A9:C2:93:DA,Smartphone,2024-01-01 13:50:10,192.168.0.96,Ubicacion_41,Accion_4
156,156,1,10:4A:92:8B:73:E6,Tablet,2024-01-01 04:42:48,192.168.0.62,Ubicacion_17,Accion_5
157,157,1,D4:BE:3A:81:82:00,Smartphone,2024-01-01 20:05:06,192.168.0.83,Ubicacion_44,Accion_1
158,158,1,DA:34:F5:26:CB:28,Tablet,2024-01-01 09:02:56,192.168.0.235,Ubicacion_44,Accion_4
159,159,1,AA:FD:24:86:10:2C,PC,2024-01-01 10:42:55,192.168.0.122,Ubicacion_20,Accion_3
160,160,1,52:3E:BE:E8:A4:1C,Tablet,2024-01-01 01:59:10,192.168.0.25,Ubicacion_15,Accion_2
161,161,2,DA:20:A4:ED:6C:6F,PC,2024-01-01 19:20:15,192.168.0.21,Ubicacion_41,Accion_5
162,162,1,AD:06:6F:5C:53:21,PC,2024-01-01 16:06:38,192.168.0.245,Ubicacion_47,Accion_1
163,163,1,82:8A:04:3A:00:E1,Smartphone,2024-01-01 10:21:34,192.168.0.215,Ubicacion_36,Accion_3
164,164,3,F9:7E:51:FC:DE:DA,Tablet,2024-01-01 13:01:40,192.168.0.88,Ubicacion_34,Accion_1
165,165,2,CB:53:8D:D2:0F:A0,Smartphone,2024-01-01 18:59:24,192.168.0.76,Ubicacion_8,Accion_2
166,166,2,3C:D5:0C:00:D7:1D,Tablet,2024-01-01 02:57:06,192.168.0.101,Ubicacion_33,Accion_4
167,167,2,06:1C:57:72:CC:03,PC,2024-01-01 02:57:02,192.168.0.80,Ubicacion_7,Accion_3
168,168,2,A1:D6:80:22:50:90,Tablet,2024-01-01 21:27:08,192.168.0.97,Ubicacion_47,Accion_2
169,169,1,12:B4:C2:5E:04:7E,PC,2024-01-01 21:22:00,192.168.0.110,Ubicacion_25,Accion_4
170,170,2,13:55:4B:CA:6C:99,Tablet,2024-01-01 18:44:59,192.168.0.57,Ubicacion_39,Accion_5
171,171,3,2B:3B:75:A0:EB:DC,PC,2024-01-01 15:10:27,192.168.0.93,Ubicacion_10,Accion_1
172,172,3,92:BE:0A:B5:06:99,Tablet,2024-01-01 01:31:01,192.168.0.38,Ubicacion_16,Accion_5
173,173,1,5D:F0:4F:B1:23:FF,Smartphone,2024-01-01 20:18:28,192.168.0.234,Ubicacion_32,Accion_5
174,174,2,5C:3B:D2:6D:D9:0E,Tablet,2024-01-01 23:33:32,192.168.0.68,Ubicacion_48,Accion_1
175,175,2,7F:A0:65:D8:EA:23,PC,2024-01-01 08:30:40,192.168.0.9,Ubicacion_32,Accion_4
176,176,2,CD:AB:DE:BB:11:EC,PC,2024-01-01 08:42:35,192.168.0.7,Ubicacion_50,Accion_2
177,177,3,37:A5:D7:6C:D7:F6,PC,2024-01-01 03:53:34,192.168.0.174,Ubicacion_43,Accion_2
178,178,3,21:CE:4E:67:3B:1B,PC,2024-01-01 00:10:49,192.168.0.237,Ubicacion_17,Accion_2
179,179,2,2E:42:9F:51:03:AC,PC,2024-01-01 07:08:35,192.168.0.163,Ubicacion_5,Accion_5
180,180,2,FB:BE:57:CD:6B:CD,PC,2024-01-01 01:49:32,192.168.0.50,Ubicacion_32,Accion_2
181,181,3,32:CA:4B:45:85:9F,Tablet,2024-01-01 12:43:28,192.168.0.10,Ubicacion_44,Accion_4
182,182,3,E8:A4:E2:A5:E9:61,Tablet,2024-01-01 20:29:09,192.168.0.6,Ubicacion_35,Accion_4
183,183,2,DA:46:2F:DD:87:18,PC,2024-01-01 23:18:08,192.168.0.218,Ubicacion_44,Accion_2
184,184,2,3E:1F:0F:18:3A:3A,Tablet,2024-01-01 09:33:02,192.168.0.142,Ubicacion_20,Accion_2
185,185,1,C2:5A:4E:CA:D4:0B,Smartphone,2024-01-01 00:52:58,192.168.0.60,Ubicacion_2,Accion_2
186,186,2,4F:A3:20:BD:7F:3E,Smartphone,2024-01-01 07:35:43,192.168.0.50,Ubicacion_21,Accion_2
187,187,3,44:56:A6:EA:13:03,Smartphone,2024-01-01 10:48:25,192.168.0.121,Ubicacion_43,Accion_5
188,188,2,A7:B5:C9:BF:58:9F,Tablet,2024-01-01 08:32:34,192.168.0.206,Ubicacion_11,Accion_5
189,189,2,EA:98:E6:66:99:BB,Tablet,2024-01-01 09:07:35,192.168.0.120,Ubicacion_17,Accion_4
190,190,3,78:FB:9E:8C:98:76,Smartphone,2024-01-01 04:09:29,192.168.0.233,Ubicacion_42,Accion_1
191,191,1,73:D9:C0:9E:BC:A1,PC,2024-01-01 05:15:56,192.168.0.133,Ubicacion_18,Accion_3
192,192,2,8F:E0:B9:1B:00:99,Tablet,2024-01-01 22:30:05,192.168.0.22,Ubicacion_37,Accion_5
193,193,3,65:DC:5E:DE:5F:DA,PC,2024-01-01 18:52:41,192.168.0.109,Ubicacion_31,Accion_4
194,194,3,AC:7B:35:3D:74:0B,PC,2024-01-01 22:26:44,192.168.0.119,Ubicacion_22,Accion_4
195,195,3,E3:27:9D:FF:17:53,Smartphone,2024-01-01 10:20:50,192.168.0.131,Ubicacion_49,Accion_1
196,196,3,DA:2D:C0:F3:98:53,PC,2024-01-01 08:46:03,192.168.0.125,Ubicacion_17,Accion_2
197,197,1,49:6A:4B:06:48:BE,Tablet,2024-01-01 19:54:05,192.168.0.152,Ubicacion_6,Accion_1
198,198,3,F6:87:3B:15:30:6B,PC,2024-01-01 18:01:34,192.168.0.36,Ubicacion_27,Accion_3
199,199,3,5C:07:40:3C:C8:FA,Tablet,2024-01-01 17:57:12,192.168.0.99,Ubicacion_48,Accion_5
200,200,3,DF:17:D3:59:46:EE,PC,2024-01-01 12:05:40,192.168.0.244,Ubicacion_44,Accion_3
201,201,1,E9:19:4E:7E:3A:88,Smartphone,2024-01-01 20:40:56,192.168.0.48,Ubicacion_18,Accion_5
202,202,1,FC:C8:B1:72:11:71,Tablet,2024-01-01 14:04:36,192.168.0.12,Ubicacion_19,Accion_5
203,203,3,DF:FF:B9:15:BA:1F,PC,2024-01-01 18:37:17,192.168.0.74,Ubicacion_1,Accion_4
204,204,3,E5:B8:D6:A8:78:71,Smartphone,2024-01-01 22:39:25,192.168.0.223,Ubicacion_2,Accion_2
205,205,3,69:D8:12:10:58:C7,Tablet,2024-01-01 00:39:52,192.168.0.234,Ubicacion_3,Accion_2
206,206,1,70:31:3C:D7:07:55,PC,2024-01-01 11:58:34,192.168.0.161,Ubicacion_8,Accion_3
207,207,2,93:4A:E9:8C:E7:50,Smartphone,2024-01-01 21:47:57,192.168.0.236,Ubicacion_5,Accion_4
208,208,1,D4:64:D1:59:26:0E,Tablet,2024-01-01 14:45:55,192.168.0.157,Ubicacion_26,Accion_3
209,209,2,22:36:14:F0:79:5D,PC,2024-01-01 06:45:52,192.168.0.28,Ubicacion_41,Accion_5
210,210,1,39:DC:0A:2A:4E:C4,Smartphone,2024-01-01 03:17:12,192.168.0.121,Ubicacion_48,Accion_5
211,211,2,24:67:F0:75:BF:74,Smartphone,2024-01-01 21:27:38,192.168.0.140,Ubicacion_50,Accion_1
212,212,1,07:AA:F7:18:C9:89,PC,2024-01-01 09:01:32,192.168.0.246,Ubicacion_40,Accion_1
213,213,1,4A:C1:B6:13:0B:7E,Smartphone,2024-01-01 20:37:30,192.168.0.35,Ubicacion_9,Accion_4
214,214,2,B0:09:9C:87:70:8B,Smartphone,2024-01-01 02:36:42,192.168.0.17,Ubicacion_16,Accion_2
215,215,3,B3:DC:69:DF:6E:BF,PC,2024-01-01 19:26:58,192.168.0.162,Ubicacion_49,Accion_4
216,216,3,C6:A1:C7:4D:63:45,Tablet,2024-01-01 08:22:15,192.168.0.57,Ubicacion_43,Accion_1
217,217,3,07:3F:AB:A3:7B:F7,Tablet,2024-01-01 07:43:45,192.168.0.145,Ubicacion_21,Accion_1
218,218,3,23:D6:6C:BD:20:D1,Smartphone,2024-01-01 17:11:36,192.168.0.200,Ubicacion_44,Accion_4
219,219,2,32:CD:FE:F5:04:C9,PC,2024-01-01 23:17:27,192.168.0.5,Ubicacion_10,Accion_3
220,220,1,9A:D8:59:B2:1C:35,PC,2024-01-01 15:12:12,192.168.0.11,Ubicacion_35,Accion_1
221,221,2,34:D3:D4:09:72:58,PC,2024-01-01 19:30:08,192.168.0.104,Ubicacion_43,Accion_1
222,222,3,DE:79:B2:B8:74:80,PC,2024-01-01 00:28:52,192.168.0.52,Ubicacion_43,Accion_5
