id_control,Descripcion_control,Id_tipo_estgia_control,Id_tipo_med_control,Id_tipo_Qcontrol,id_valoracion_residual
78,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,M,ADM,E,26
79,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,INH,B,26
80,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,INH,D,27
81,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,P,EPP,A,28
82,Puntos de anclaje,M,SUS,B,28
83,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,P,EPP,A,29
84,1. Uso de herramientas adecuadas.,P,SUS,C,29
85,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,M,ADM,A,30
86,1. Uso de herramientas adecuadas.,M,SUS,D,30
87,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,P,ELI,C,30
88,Descripcion,P,SUS,D,31
89,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,ELI,D,31
90,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,M,SUS,A,31
91,Orejeras Tapones auditivos,P,INH,B,31
92,Orejeras Tapones auditivos,M,ADM,A,31
93,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,ADM,E,32
94,Orejeras Tapones auditivos,P,EPP,B,32
95,Probadores de energia Multitester Revelador de tension,M,SUS,D,32
96,Uso del drenaje ecologico tipo check.,M,SUS,D,32
97,Barbiquejo,M,SUS,B,33
98,Respirador y filtros de polvo,M,EPP,B,33
99,Zapatos de seguridad con planta de caucho o material antideslizante.,M,SUS,B,33
100,Respirador con filtro de gases,P,ELI,A,34
101,Probadores de energia Multitester Revelador de tension,P,EPP,B,35
102,1. Uso de herramientas adecuadas.,M,ADM,C,35
103,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,P,EPP,A,36
104,Instalacion de silenciadores en ventiladores,M,ADM,B,36
105,Probadores de energia Multitester Revelador de tension,P,ADM,D,37
106,Orejeras Tapones auditivos,P,INH,E,37
107,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,ADM,C,37
108,1. Senalizacion,M,ADM,D,37
109,Respirador con filtro de gases,P,SUS,C,38
110,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,INH,D,38
111,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,P,ELI,D,38
112,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,ELI,A,39
113,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,EPP,C,39
114,1. Senalizacion,M,SUS,D,39
115,Orejeras Tapones auditivos,M,ELI,E,40
116,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,SUS,D,41
117,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,ADM,C,41
118,Zapatos de seguridad con planta de caucho o material antideslizante.,P,INH,D,41
119,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,ADM,B,41
120,Puntos de anclaje,P,SUS,E,41
121,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,P,ELI,D,42
122,Zapatos de seguridad con planta de caucho o material antideslizante.,M,SUS,E,42
123,Colocacion de Barreras  Solidas,M,ADM,B,42
124,Puntos de anclaje,M,EPP,A,42
125,Puntos de anclaje,M,EPP,E,43
126,Instalacion de silenciadores en ventiladores,M,INH,E,44
127,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,SUS,E,44
128,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico  PETAR para trabajos en caliente Verificar la ventilacion constante del ambiente de trabajo E-COR-SIB-11.02 Proteccion Respiratoria,M,EPP,A,44
129,Orejeras Tapones auditivos,P,SUS,C,45
130,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico  PETAR para trabajos en caliente Verificar la ventilacion constante del ambiente de trabajo E-COR-SIB-11.02 Proteccion Respiratoria,M,ELI,C,45
131,Zapatos de seguridad con planta de caucho o material antideslizante.,M,INH,A,45
132,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,M,ADM,E,45
133,guantes de cuero o anticorte.,M,SUS,A,45
134,Desenergizar y bloquear  fuente de energia,P,ADM,E,46
135,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,P,INH,D,46
136,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,P,ELI,E,46
137,Extintores en Zona de trabajo,M,EPP,C,47
138,1. Senalizacion,P,SUS,E,47
139,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,M,ELI,C,48
140,Respirador con filtro de gases,P,ADM,A,48
141,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico Verificacion de la autorizacion de operatividad del equipo de izaje y del personal que lo va a maniobrar. Difusion del estandar E-COR-SIB-05.05 Equipos de Izaje y Gruas,P,ADM,B,48
142,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,ELI,C,48
143,1. P-COR-SIB-04.15 Manejo de derrames 2. Capacitacion en E-COR-SIB-11.01 Control de Materiales Quimicos Peligrosos. 3. Capacitacion en uso de MSDS. 4. Cumplir con el Plan de Contingencias. 4. Capacitacion en reporte de incidentes por derrames.,M,ELI,A,49
144,Uso del drenaje ecologico tipo check.,M,INH,E,50
145,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,INH,E,50
146,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,EPP,B,50
147,delimitacion de areas 2. Mantener orden y limpieza,M,ADM,E,50
148,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,M,SUS,C,51
149,kits de contingencia,M,EPP,C,52
150,Instalacion de silenciadores en ventiladores,P,ELI,B,52
151,guantes de cuero o anticorte.,M,INH,E,53
152,1. Uso de herramientas adecuadas.,M,INH,B,53
153,Orejeras Tapones auditivos,P,INH,B,53
154,1. Capacitacion en uso trabajos en pisos desnivelados 2. Realizar trabajos en equipo coordinadamente.,M,ADM,B,53
155,1. Senalizacion,M,INH,E,54
156,Respirador y filtros de polvo,P,ELI,C,54
157,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,EPP,E,54
158,lineas de vida,P,ADM,A,55
159,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,ELI,B,55
160,Descripcion,P,ELI,B,56
161,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,INH,B,56
162,1. Uso de herramientas adecuadas.,M,ADM,D,56
163,Timbre de operatividad Circulina de operatividad,P,ELI,C,57
164,Respirador y filtros de polvo,P,INH,D,57
165,Orejeras Tapones auditivos,P,EPP,B,58
166,Orejeras Tapones auditivos,P,ELI,A,58
167,Uso del drenaje ecologico tipo check.,P,EPP,E,59
168,1. Uso de herramientas adecuadas.,P,EPP,C,59
169,Colocacion de Barreras  Solidas,M,ADM,C,59
170,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,EPP,E,59
171,1. PETS-UCH-MG-81.07 Inspeccion electromagnetica de cable de winche de izaje.,M,EPP,D,60
172,1. Uso de herramientas adecuadas.,M,INH,E,60
173,Puntos de anclaje,M,ELI,C,60
174,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,ADM,E,60
175,Uso del drenaje ecologico tipo check.,M,INH,D,60
176,Probadores de energia Multitester Revelador de tension,M,ELI,E,61
177,Colocacion de Barreras  Solidas,M,ADM,E,61
178,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,EPP,D,61
179,1. Senalizacion,P,INH,A,61
180,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,ELI,D,61
181,Respirador y filtros de polvo,P,EPP,E,62
182,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,P,ADM,A,62
183,Capacitacion del uso de las hojas MSDS de las sustancias que se utilizaran. Uso correcto de las cartillas de mantenimiento preventivo de los equipos.,M,SUS,C,62
184,1. Senalizacion,P,EPP,E,62
185,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,INH,C,63
186,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,P,EPP,B,64
187,Zapatos de seguridad con planta de caucho o material antideslizante.,M,SUS,D,64
188,Colocacion de Barreras  Solidas,M,EPP,A,65
189,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,P,ADM,C,65
190,lineas de vida,M,EPP,B,66
191,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,ADM,B,66
192,Descripcion,P,INH,D,66
193,Timbre de operatividad Circulina de operatividad,M,ADM,C,66
194,Capacitacion del uso de las hojas MSDS de las sustancias que se utilizaran. Uso correcto de las cartillas de mantenimiento preventivo de los equipos.,P,ELI,D,67
195,1. Uso de herramientas adecuadas.,M,INH,E,67
196,Descripcion,P,ELI,D,67
197,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,P,ADM,C,68
198,Desenergizar y bloquear  fuente de energia,M,ELI,D,69
199,Zapatos de seguridad con planta de caucho o material antideslizante.,M,SUS,B,69
200,delimitacion de areas 2. Mantener orden y limpieza,M,INH,D,69
201,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,M,ADM,E,69
202,lineas de vida,P,SUS,E,69
203,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,M,INH,E,70
204,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico  PETAR para trabajos en caliente Verificar la ventilacion constante del ambiente de trabajo E-COR-SIB-11.02 Proteccion Respiratoria,P,ADM,A,70
205,Orden de Trabajo IPERC continuo realizado por operador y ayudante. Capacitacion en riesgos electricos Difusion y seguimiento al estandar E-COR-SIB-03.01 Aislamiento de Energia Difusion y seguimiento al estandar E-COR-SIB-03.03 Energia Electrica de Baja Tension,M,EPP,E,71
206,Casco de Seguridad,M,INH,C,71
207,Colocacion de Barreras  Solidas,M,ADM,E,72
208,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,M,INH,E,72
209,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,ADM,D,72
210,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,INH,A,72
211,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,M,INH,B,73
212,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,INH,D,74
213,Probadores de energia Multitester Revelador de tension,P,EPP,A,75
214,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,M,INH,E,75
215,Descripcion,P,EPP,B,75
216,Instalacion de silenciadores en ventiladores,P,EPP,B,75
217,1. Uso de herramientas adecuadas.,P,SUS,B,75
218,Respirador y filtros de polvo,M,INH,D,76
219,Probadores de energia Multitester Revelador de tension,M,ELI,E,76
220,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,ELI,D,77
221,Desenergizar y bloquear  fuente de energia,M,ADM,B,78
222,kits de contingencia,P,SUS,C,78
223,Uso del drenaje ecologico tipo check.,M,SUS,D,78
224,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,ELI,B,79
225,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,SUS,B,79
226,Probadores de energia Multitester Revelador de tension,P,SUS,E,79
227,Extintores en Zona de trabajo,P,ELI,D,79
228,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,M,EPP,E,80
229,1. Uso de herramientas adecuadas.,P,INH,C,80
230,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,ADM,C,80
231,Timbre de operatividad Circulina de operatividad,P,ADM,B,81
232,Respirador y filtros de polvo,P,ADM,B,81
233,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,P,INH,C,81
234,Probadores de energia Multitester Revelador de tension,P,ELI,B,82
235,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,EPP,D,82
236,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,P,ADM,E,83
237,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,EPP,A,83
238,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,M,ELI,E,84
239,Capacitacion del uso de las hojas MSDS de las sustancias que se utilizaran. Uso correcto de las cartillas de mantenimiento preventivo de los equipos.,M,ADM,B,84
240,Desenergizar y bloquear  fuente de energia,P,ADM,E,84
241,Descripcion,P,ADM,D,84
242,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,P,INH,E,84
243,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,EPP,C,85
244,Zapatos de seguridad con planta de caucho o material antideslizante.,M,ADM,A,85
245,Zapatos de seguridad con planta de caucho o material antideslizante.,P,INH,A,85
246,Uso de equipos personal de proteccion anticaidas.,M,ELI,B,86
247,cilindros de aserrin.,M,INH,D,86
248,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico  PETAR para trabajos en caliente Verificar la ventilacion constante del ambiente de trabajo E-COR-SIB-11.02 Proteccion Respiratoria,P,EPP,E,86
249,Descripcion,P,SUS,C,86
250,Probadores de energia Multitester Revelador de tension,M,SUS,C,87
251,guantes de cuero o anticorte.,M,ELI,D,87
252,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,SUS,A,87
253,Probadores de energia Multitester Revelador de tension,M,INH,E,87
254,Respirador con filtro de gases,M,INH,C,87
255,Puntos de anclaje,P,ADM,E,88
256,Respirador con filtro de gases,P,SUS,D,89
257,Instalacion de silenciadores en ventiladores,P,EPP,B,89
258,Respirador y filtros de polvo,M,INH,A,89
259,Zapatos de seguridad con planta de caucho o material antideslizante.,M,INH,C,90
260,Respirador y filtros de polvo,P,ADM,A,90
261,Extintores en Zona de trabajo,P,ELI,E,90
262,1. Bandejas,P,ELI,B,91
263,1. Capacitacion en uso trabajos en pisos desnivelados 2. Realizar trabajos en equipo coordinadamente.,P,EPP,C,91
264,Capacitacion del uso de las hojas MSDS de las sustancias que se utilizaran. Uso correcto de las cartillas de mantenimiento preventivo de los equipos.,P,ELI,B,91
265,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico Verificacion de la autorizacion de operatividad del equipo de izaje y del personal que lo va a maniobrar. Difusion del estandar E-COR-SIB-05.05 Equipos de Izaje y Gruas,M,EPP,C,92
266,1. Capacitacion en uso trabajos en pisos desnivelados 2. Realizar trabajos en equipo coordinadamente.,P,INH,B,92
267,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,M,EPP,B,92
268,Orejeras Tapones auditivos,M,SUS,D,92
269,Descripcion,P,ELI,B,92
270,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,M,EPP,C,93
271,1. Uso de herramientas adecuadas.,P,INH,B,94
272,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,INH,B,94
273,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,ADM,A,94
274,1. Uso de herramientas adecuadas.,M,INH,C,94
275,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,INH,E,95
276,Respirador y filtros de polvo,M,EPP,C,95
277,Uso del drenaje ecologico tipo check.,M,INH,C,96
278,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,M,EPP,A,96
279,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,SUS,A,96
280,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,M,INH,A,96
281,delimitacion de areas 2. Mantener orden y limpieza,M,ELI,E,97
282,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,EPP,D,97
283,Uso del drenaje ecologico tipo check.,P,SUS,D,97
284,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,EPP,D,98
285,Timbre de operatividad Circulina de operatividad,P,INH,C,98
286,1. Senalizacion,P,ADM,D,98
287,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,P,ELI,B,99
288,1. P-COR-SIB-04.15 Manejo de derrames 2. Capacitacion en E-COR-SIB-11.01 Control de Materiales Quimicos Peligrosos. 3. Capacitacion en uso de MSDS. 4. Cumplir con el Plan de Contingencias. 4. Capacitacion en reporte de incidentes por derrames.,P,SUS,C,99
289,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,M,INH,A,99
290,Zapatos de seguridad con planta de caucho o material antideslizante.,P,SUS,A,100
291,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,M,EPP,A,100
292,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico Verificacion de la autorizacion de operatividad del equipo de izaje y del personal que lo va a maniobrar. Difusion del estandar E-COR-SIB-05.05 Equipos de Izaje y Gruas,M,SUS,D,100
