id_actv,nombre_actv,descripcion,fecha_inicio,fecha_fin,id_equipo_soporte,id_empleado,id_estado,id_orden
31,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-02-06,2022-02-07,,936,6,31
32,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-02-07,2022-02-09,,446,1,32
33,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-02-07,2022-02-09,,786,7,33
34,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-02-09,2022-02-10,,667,7,34
35,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-02-10,2022-02-10,,326,7,35
36,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-02-10,2022-02-12,,178,6,36
37,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-02-12,2022-02-12,,747,5,37
38,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-02-13,2022-02-15,,977,1,38
39,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-02-13,2022-02-15,,321,3,39
40,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-02-15,2022-02-16,,130,3,40
41,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-02-16,2022-02-16,,449,5,41
42,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-02-16,2022-02-16,,509,4,42
43,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-02-18,2022-02-19,,841,7,43
44,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-02-19,2022-02-21,,428,1,44
45,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-02-19,2022-02-20,4,964,1,45
46,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-02-21,2022-02-23,,176,5,46
47,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-02-22,2022-02-22,,796,1,47
48,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-02-22,2022-02-23,,544,4,48
49,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-02-24,2022-02-25,,385,7,49
50,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-02-25,2022-02-25,,997,4,50
51,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-02-25,2022-02-27,,254,2,51
52,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-02-27,2022-02-27,9,670,1,52
53,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-02-28,2022-03-02,3,582,5,53
54,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-02-28,2022-03-01,,936,3,54
55,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-03-02,2022-03-02,,192,6,55
56,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-03-03,2022-03-03,,505,3,56
57,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-03-03,2022-03-05,,675,4,57
58,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-03-05,2022-03-06,,492,6,58
59,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-03-06,2022-03-06,10,360,7,59
60,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-03-06,2022-03-06,,87,6,60
61,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-03-08,2022-03-09,,962,3,61
62,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-03-09,2022-03-09,,373,2,62
63,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-03-09,2022-03-10,,680,3,63
64,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-03-11,2022-03-13,,690,4,64
65,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-03-12,2022-03-12,,448,5,65
66,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-03-12,2022-03-13,,548,5,66
67,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-03-14,2022-03-16,,430,7,67
68,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-03-15,2022-03-16,,836,2,68
69,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-03-15,2022-03-15,,428,7,69
70,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-03-17,2022-03-17,,198,3,70
71,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-03-18,2022-03-20,,540,4,71
72,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-03-18,2022-03-19,,134,3,72
73,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-03-20,2022-03-21,,760,5,73
74,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-03-21,2022-03-22,,579,4,74
75,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-03-21,2022-03-22,1,770,5,75
76,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-03-23,2022-03-25,,221,5,76
77,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-03-24,2022-03-24,,156,5,77
78,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-03-24,2022-03-26,,839,5,78
79,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-03-26,2022-03-26,,213,4,79
80,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-03-27,2022-03-27,,962,4,80
81,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-03-27,2022-03-28,,105,3,81
82,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-03-29,2022-03-31,,959,4,82
83,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-03-30,2022-03-30,,406,6,83
84,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-03-30,2022-03-31,,464,3,84
85,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-04-01,2022-04-02,,605,4,85
86,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-04-02,2022-04-03,,614,5,86
87,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-04-02,2022-04-03,3,849,2,87
88,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-04-04,2022-04-06,,613,4,88
89,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-04-05,2022-04-07,14,607,3,89
90,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-04-05,2022-04-07,,165,4,90
91,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-04-07,2022-04-07,,895,5,91
92,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-04-08,2022-04-08,,262,5,92
93,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-04-08,2022-04-09,,606,6,93
94,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-04-10,2022-04-11,,658,7,94
95,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-04-11,2022-04-13,,570,4,95
96,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-04-11,2022-04-13,11,518,3,96
97,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-04-13,2022-04-14,6,865,7,97
98,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-04-14,2022-04-15,,138,2,98
99,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-04-14,2022-04-16,,689,2,99
100,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-04-16,2022-04-18,,310,7,100
101,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-04-17,2022-04-18,,26,3,101
102,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-04-17,2022-04-19,,144,4,102
103,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-04-19,2022-04-21,20,658,2,103
104,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-04-20,2022-04-20,14,951,7,104
105,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-04-20,2022-04-20,19,430,3,105
106,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-04-22,2022-04-22,,584,5,106
107,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-04-23,2022-04-24,,462,5,107
108,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-04-23,2022-04-24,,195,5,108
109,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-04-25,2022-04-27,,369,2,109
110,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-04-26,2022-04-26,,431,1,110
111,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-04-26,2022-04-27,8,684,6,111
112,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-04-28,2022-04-29,,77,1,112
113,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-04-29,2022-04-29,,563,7,113
114,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-04-29,2022-04-29,,676,5,114
115,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-05-01,2022-05-02,,716,1,115
116,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-05-02,2022-05-03,13,345,7,116
117,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-05-02,2022-05-04,,977,2,117
118,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-05-04,2022-05-04,,190,5,118
119,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-05-05,2022-05-06,,49,7,119
120,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-05-05,2022-05-06,,523,4,120
121,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-05-07,2022-05-09,,478,2,121
122,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-05-08,2022-05-08,,222,3,122
123,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-05-08,2022-05-09,,368,2,123
124,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-05-10,2022-05-11,,101,3,124
125,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-05-11,2022-05-12,,583,7,125
126,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-05-11,2022-05-13,6,174,4,126
127,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-05-13,2022-05-15,,139,7,127
128,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-05-14,2022-05-15,,375,7,128
129,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-05-14,2022-05-15,,911,2,129
130,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-05-16,2022-05-17,,960,6,130
131,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-05-17,2022-05-19,,389,1,131
132,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-05-17,2022-05-18,16,183,1,132
133,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-05-19,2022-05-20,,919,2,133
134,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-05-20,2022-05-22,,664,6,134
135,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-05-20,2022-05-21,,192,1,135
136,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-05-22,2022-05-23,,297,7,136
137,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-05-23,2022-05-23,,867,3,137
138,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-05-23,2022-05-23,,269,4,138
139,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-05-25,2022-05-25,,654,1,139
140,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-05-26,2022-05-27,,189,2,140
141,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-05-26,2022-05-28,,235,3,141
142,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-05-28,2022-05-28,,116,3,142
143,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-05-29,2022-05-31,,472,4,143
144,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-05-29,2022-05-29,,205,6,144
145,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-05-31,2022-06-01,,965,7,145
146,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-06-01,2022-06-03,,539,3,146
147,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-06-01,2022-06-03,,986,2,147
148,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-06-03,2022-06-03,,115,4,148
149,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-06-04,2022-06-05,,868,5,149
150,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-06-04,2022-06-06,,712,5,150
151,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-06-06,2022-06-08,,939,5,151
152,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-06-07,2022-06-09,,997,4,152
153,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-06-07,2022-06-07,20,801,2,153
154,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-06-09,2022-06-10,,639,7,154
155,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-06-10,2022-06-12,13,752,6,155
156,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-06-10,2022-06-11,,721,3,156
157,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-06-12,2022-06-14,,680,3,157
158,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-06-13,2022-06-15,,909,1,158
159,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-06-13,2022-06-15,,295,7,159
160,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-06-15,2022-06-15,,32,1,160
161,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-06-16,2022-06-17,,283,5,161
162,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-06-16,2022-06-16,,713,4,162
163,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-06-18,2022-06-20,,948,1,163
164,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-06-19,2022-06-21,,780,4,164
165,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-06-19,2022-06-19,,226,1,165
166,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-06-21,2022-06-21,,425,7,166
167,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-06-22,2022-06-24,6,853,2,167
168,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-06-22,2022-06-23,,532,4,168
169,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-06-24,2022-06-25,,327,2,169
170,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-06-25,2022-06-25,,393,4,170
171,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-06-25,2022-06-27,,724,1,171
172,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-06-27,2022-06-28,,634,5,172
173,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-06-28,2022-06-30,,560,1,173
174,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-06-28,2022-06-28,,964,2,174
175,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-06-30,2022-06-30,,420,6,175
176,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-07-01,2022-07-01,,471,6,176
177,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-07-01,2022-07-03,,270,3,177
178,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-07-03,2022-07-04,3,31,7,178
179,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-07-04,2022-07-06,,775,6,179
180,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-07-04,2022-07-04,9,619,5,180
181,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-07-06,2022-07-08,,772,5,181
182,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-07-07,2022-07-07,,807,1,182
183,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-07-07,2022-07-08,,980,3,183
184,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-07-09,2022-07-11,,328,2,184
185,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-07-10,2022-07-11,,778,6,185
186,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-07-10,2022-07-12,,857,1,186
187,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-07-12,2022-07-12,,99,4,187
188,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-07-13,2022-07-13,,638,5,188
189,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-07-13,2022-07-13,,970,5,189
190,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-07-15,2022-07-17,,898,1,190
191,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-07-16,2022-07-16,,497,7,191
