Descripcion_tarea,Puesto_trabajo,Cond_operacional,Id_actividad,id_tarea
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,metas anuales,357,35
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,Tareas diarias,285,36
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,Tareas diarias,137,37
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,Tareas diarias,88,38
Probar los botones de parada de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,Tareas diarias,477,39
Probar la iluminacion de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,deberes ocasionales,129,40
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Gerente de Instalaciones,deberes ocasionales,118,41
Probar los botones de parada de emergencia para verificar su funcionalidad,Gerente de Instalaciones,responsabilidades habituales,478,42
Probar los botones de parada de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,Tareas diarias,62,43
Probar los sistemas de deteccion de gases para verificar su precision,Gerente de Instalaciones,metas anuales,449,44
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Supervisor de Mantenimiento,asignaciones regulares,12,45
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento Preventivo,responsabilidades habituales,399,46
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,deberes ocasionales,447,47
Probar los botones de parada de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,deberes ocasionales,26,48
Probar los sistemas de deteccion de gases para verificar su precision,Lider de Equipo de Mantenimiento,metas anuales,473,49
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,asignaciones regulares,115,50
Probar los botones de parada de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,asignaciones regulares,105,51
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento,metas anuales,61,52
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,asignaciones regulares,174,53
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,responsabilidades habituales,26,54
Probar la iluminacion de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,obligaciones frecuentes,49,55
Probar los sistemas de alarma para verificar su respuesta,Inspector de Mantenimiento,obligaciones frecuentes,415,56
Probar los botones de parada de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,180,57
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,recados semanales,446,58
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,asignaciones regulares,128,59
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,metas anuales,235,60
Probar los sistemas de alarma para verificar su respuesta,Coordinador de Mantenimiento,obligaciones frecuentes,350,61
Probar los sistemas de deteccion de gases para verificar su precision,Gerente de Instalaciones,metas anuales,459,62
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,recados semanales,121,63
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,metas anuales,199,64
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Supervisor de Mantenimiento,Tareas diarias,8,65
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,asignaciones regulares,161,66
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,asignaciones regulares,174,67
Revisar las salidas de emergencia para detectar obstrucciones,Supervisor de Mantenimiento,metas anuales,229,68
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,deberes ocasionales,69,69
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,metas anuales,315,70
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,metas anuales,81,71
Revisar las salidas de emergencia para detectar obstrucciones,Planificador de Mantenimiento,deberes ocasionales,58,72
Inspeccionar los arneses de seguridad en busca de danos,Ingeniero de Mantenimiento Preventivo,obligaciones frecuentes,53,73
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,asignaciones regulares,205,74
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,deberes ocasionales,160,75
Inspeccionar las bandas transportadoras en busca de desgaste,Gerente de Instalaciones,obligaciones frecuentes,41,76
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,305,77
Probar los sistemas de deteccion de gases para verificar su precision,Planificador de Mantenimiento,recados semanales,272,78
Probar los sistemas de alarma para verificar su respuesta,Lider de Equipo de Mantenimiento,recados semanales,30,79
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,responsabilidades habituales,68,80
Probar los sistemas de alarma para verificar su respuesta,Coordinador de Mantenimiento,asignaciones regulares,41,81
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,12,82
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,422,83
Probar los sistemas de alarma para verificar su respuesta,Lider de Equipo de Mantenimiento,obligaciones frecuentes,169,84
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,responsabilidades habituales,189,85
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,recados semanales,371,86
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,asignaciones regulares,156,87
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,89,88
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,deberes ocasionales,333,89
Revisar las salidas de emergencia para detectar obstrucciones,Coordinador de Mantenimiento,asignaciones regulares,403,90
Probar los sistemas de alarma para verificar su respuesta,Planificador de Mantenimiento,deberes ocasionales,153,91
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,15,92
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,recados semanales,302,93
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,recados semanales,123,94
Inspeccionar las bandas transportadoras en busca de desgaste,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,492,95
Probar los sistemas de alarma para verificar su respuesta,Ingeniero de Mantenimiento Preventivo,Tareas diarias,449,96
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,recados semanales,188,97
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,metas anuales,395,98
Probar los sistemas de alarma para verificar su respuesta,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,199,99
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,metas anuales,414,100
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,Tareas diarias,352,101
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,asignaciones regulares,10,102
Probar los sistemas de deteccion de gases para verificar su precision,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,405,103
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,metas anuales,28,104
Inspeccionar los arneses de seguridad en busca de danos,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,124,105
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento,metas anuales,405,106
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento Preventivo,deberes ocasionales,130,107
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Supervisor de Mantenimiento,metas anuales,474,108
Inspeccionar los arneses de seguridad en busca de danos,Planificador de Mantenimiento,obligaciones frecuentes,231,109
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,metas anuales,349,110
Probar los sistemas de deteccion de gases para verificar su precision,Supervisor de Mantenimiento,deberes ocasionales,344,111
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,Tareas diarias,162,112
Probar la iluminacion de emergencia para verificar su funcionalidad,Gerente de Instalaciones,responsabilidades habituales,376,113
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento,responsabilidades habituales,275,114
Inspeccionar las bandas transportadoras en busca de desgaste,Lider de Equipo de Mantenimiento,asignaciones regulares,21,115
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,312,116
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento,responsabilidades habituales,378,117
Inspeccionar el andamiaje para asegurar su estabilidad,Supervisor de Mantenimiento,Tareas diarias,356,118
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento,recados semanales,312,119
Probar los sistemas de deteccion de gases para verificar su precision,Coordinador de Mantenimiento,asignaciones regulares,265,120
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,asignaciones regulares,427,121
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento Preventivo,responsabilidades habituales,58,122
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Lider de Equipo de Mantenimiento,recados semanales,249,123
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,metas anuales,143,124
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Supervisor de Mantenimiento,obligaciones frecuentes,187,125
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento Preventivo,asignaciones regulares,478,126
Revisar las salidas de emergencia para detectar obstrucciones,Supervisor de Mantenimiento,Tareas diarias,263,127
Inspeccionar el andamiaje para asegurar su estabilidad,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,158,128
Probar los botones de parada de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,responsabilidades habituales,159,129
Probar los sistemas de alarma para verificar su respuesta,Lider de Equipo de Mantenimiento,metas anuales,467,130
Probar los sistemas de deteccion de gases para verificar su precision,Planificador de Mantenimiento,recados semanales,167,131
Probar los sistemas de alarma para verificar su respuesta,Planificador de Mantenimiento,deberes ocasionales,245,132
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,160,133
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento,recados semanales,154,134
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,responsabilidades habituales,89,135
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,asignaciones regulares,402,136
Inspeccionar los arneses de seguridad en busca de danos,Coordinador de Mantenimiento,asignaciones regulares,93,137
Probar los sistemas de alarma para verificar su respuesta,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,311,138
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Gerente de Instalaciones,metas anuales,250,139
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,recados semanales,286,140
Probar la iluminacion de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,metas anuales,315,141
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,obligaciones frecuentes,407,142
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,asignaciones regulares,446,143
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento Preventivo,asignaciones regulares,348,144
Probar los botones de parada de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,asignaciones regulares,418,145
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,recados semanales,288,146
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,obligaciones frecuentes,10,147
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento Preventivo,Tareas diarias,282,148
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,deberes ocasionales,214,149
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,asignaciones regulares,70,150
Inspeccionar las bandas transportadoras en busca de desgaste,Ingeniero de Mantenimiento Preventivo,obligaciones frecuentes,257,151
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,deberes ocasionales,81,152
Inspeccionar el andamiaje para asegurar su estabilidad,Supervisor de Mantenimiento,obligaciones frecuentes,133,153
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Gerente de Instalaciones,obligaciones frecuentes,264,154
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Lider de Equipo de Mantenimiento,responsabilidades habituales,222,155
Inspeccionar el andamiaje para asegurar su estabilidad,Supervisor de Mantenimiento,Tareas diarias,177,156
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,metas anuales,423,157
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,recados semanales,308,158
Probar los botones de parada de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,recados semanales,443,159
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,responsabilidades habituales,447,160
Inspeccionar el andamiaje para asegurar su estabilidad,Especialista en Mantenimiento Preventivo,deberes ocasionales,141,161
Probar los botones de parada de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,recados semanales,298,162
Probar los sistemas de alarma para verificar su respuesta,Ingeniero de Mantenimiento Preventivo,Tareas diarias,366,163
Probar los sistemas de deteccion de gases para verificar su precision,Planificador de Mantenimiento,obligaciones frecuentes,29,164
Probar los botones de parada de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,metas anuales,420,165
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,deberes ocasionales,346,166
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,deberes ocasionales,122,167
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,deberes ocasionales,261,168
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,recados semanales,287,169
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento Preventivo,asignaciones regulares,166,170
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,metas anuales,407,171
Probar los sistemas de alarma para verificar su respuesta,Gerente de Instalaciones,Tareas diarias,484,172
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,Tareas diarias,159,173
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Supervisor de Mantenimiento,Tareas diarias,389,174
Probar los sistemas de deteccion de gases para verificar su precision,Inspector de Mantenimiento,deberes ocasionales,282,175
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,recados semanales,469,176
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,metas anuales,439,177
Probar los sistemas de deteccion de gases para verificar su precision,Coordinador de Mantenimiento,metas anuales,66,178
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento Preventivo,obligaciones frecuentes,470,179
Inspeccionar los arneses de seguridad en busca de danos,Planificador de Mantenimiento,asignaciones regulares,137,180
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,metas anuales,34,181
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,Tareas diarias,318,182
Probar los botones de parada de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,Tareas diarias,445,183
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,asignaciones regulares,56,184
Inspeccionar el andamiaje para asegurar su estabilidad,Supervisor de Mantenimiento,deberes ocasionales,298,185
Probar la iluminacion de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,metas anuales,210,186
Inspeccionar los arneses de seguridad en busca de danos,Especialista en Mantenimiento Preventivo,recados semanales,67,187
Probar los sistemas de deteccion de gases para verificar su precision,Supervisor de Mantenimiento,metas anuales,409,188
Revisar las salidas de emergencia para detectar obstrucciones,Inspector de Mantenimiento,Tareas diarias,119,189
Probar los sistemas de deteccion de gases para verificar su precision,Inspector de Mantenimiento,asignaciones regulares,66,190
Probar los sistemas de deteccion de gases para verificar su precision,Gerente de Instalaciones,deberes ocasionales,485,191
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,asignaciones regulares,99,192
Probar los sistemas de deteccion de gases para verificar su precision,Inspector de Mantenimiento,recados semanales,158,193
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,asignaciones regulares,83,194
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Supervisor de Mantenimiento,obligaciones frecuentes,285,195
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,responsabilidades habituales,342,196
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,deberes ocasionales,104,197
Inspeccionar el andamiaje para asegurar su estabilidad,Lider de Equipo de Mantenimiento,responsabilidades habituales,66,198
Probar los sistemas de deteccion de gases para verificar su precision,Ingeniero de Mantenimiento Preventivo,obligaciones frecuentes,341,199
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento,obligaciones frecuentes,270,200
Probar los sistemas de deteccion de gases para verificar su precision,Coordinador de Mantenimiento,obligaciones frecuentes,231,201
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Gerente de Instalaciones,deberes ocasionales,326,202
Revisar las salidas de emergencia para detectar obstrucciones,Planificador de Mantenimiento,asignaciones regulares,400,203
Inspeccionar el andamiaje para asegurar su estabilidad,Inspector de Mantenimiento,recados semanales,60,204
Probar los sistemas de alarma para verificar su respuesta,Inspector de Mantenimiento,asignaciones regulares,255,205
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,deberes ocasionales,498,206
Probar los botones de parada de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,Tareas diarias,304,207
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,Tareas diarias,108,208
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,deberes ocasionales,379,209
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,metas anuales,491,210
Revisar las salidas de emergencia para detectar obstrucciones,Inspector de Mantenimiento,asignaciones regulares,42,211
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,recados semanales,362,212
Probar los botones de parada de emergencia para verificar su funcionalidad,Gerente de Instalaciones,asignaciones regulares,137,213
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,Tareas diarias,391,214
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,deberes ocasionales,492,215
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Planificador de Mantenimiento,asignaciones regulares,493,216
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,Tareas diarias,340,217
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,deberes ocasionales,333,218
Inspeccionar los arneses de seguridad en busca de danos,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,451,219
Inspeccionar las bandas transportadoras en busca de desgaste,Ingeniero de Mantenimiento Preventivo,metas anuales,253,220
Revisar las salidas de emergencia para detectar obstrucciones,Lider de Equipo de Mantenimiento,recados semanales,365,221
Inspeccionar los arneses de seguridad en busca de danos,Planificador de Mantenimiento,obligaciones frecuentes,338,222
Inspeccionar las bandas transportadoras en busca de desgaste,Especialista en Mantenimiento Preventivo,deberes ocasionales,157,223
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Gerente de Instalaciones,asignaciones regulares,43,224
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento,Tareas diarias,262,225
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,117,226
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,obligaciones frecuentes,121,227
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento Preventivo,deberes ocasionales,15,228
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento,asignaciones regulares,389,229
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,recados semanales,134,230
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento Preventivo,metas anuales,332,231
Probar los sistemas de deteccion de gases para verificar su precision,Supervisor de Mantenimiento,metas anuales,58,232
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Gerente de Instalaciones,metas anuales,318,233
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,asignaciones regulares,80,234
Inspeccionar las bandas transportadoras en busca de desgaste,Supervisor de Mantenimiento,deberes ocasionales,396,235
Revisar las salidas de emergencia para detectar obstrucciones,Supervisor de Mantenimiento,Tareas diarias,213,236
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,responsabilidades habituales,420,237
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,metas anuales,355,238
Inspeccionar el andamiaje para asegurar su estabilidad,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,481,239
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento,Tareas diarias,113,240
Probar los sistemas de deteccion de gases para verificar su precision,Inspector de Mantenimiento,responsabilidades habituales,171,241
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,recados semanales,486,242
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento,deberes ocasionales,375,243
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Planificador de Mantenimiento,deberes ocasionales,249,244
Inspeccionar el andamiaje para asegurar su estabilidad,Inspector de Mantenimiento,deberes ocasionales,398,245
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,recados semanales,395,246
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento,recados semanales,153,247
Inspeccionar las bandas transportadoras en busca de desgaste,Gerente de Instalaciones,metas anuales,458,248
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Lider de Equipo de Mantenimiento,responsabilidades habituales,340,249
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento Preventivo,Tareas diarias,78,250
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,metas anuales,454,251
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,obligaciones frecuentes,426,252
Probar los botones de parada de emergencia para verificar su funcionalidad,Lider de Equipo de Mantenimiento,deberes ocasionales,274,253
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,Tareas diarias,107,254
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,responsabilidades habituales,481,255
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Planificador de Mantenimiento,deberes ocasionales,331,256
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,obligaciones frecuentes,456,257
Inspeccionar los arneses de seguridad en busca de danos,Planificador de Mantenimiento,obligaciones frecuentes,246,258
Probar los sistemas de deteccion de gases para verificar su precision,Gerente de Instalaciones,metas anuales,394,259
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento Preventivo,responsabilidades habituales,404,260
