id_informe_iperc,id_proceso,fecha_registro,fecha_act_sup,fecha_act_seg,unidad_minera,area
25,25,2024-05-31,2024-08-27,2023-11-29,Colquijirca,MTTO. EQUIPOS
26,26,2024-10-06,2024-09-03,2024-08-05,Tambomayo,MTTO. PLANTA
27,27,2024-06-07,2024-10-29,2024-05-17,La Zanja,MANTTO DE EQUIPOS TRACKLESS
28,28,2024-02-18,2024-09-26,2024-08-18,Coimolache,MTTO. SERVICIOS
29,29,2023-12-28,2024-02-29,2023-12-19,Uchucchacua,MTTO. EQUIPOS
30,30,2023-12-26,2024-04-25,2024-06-22,El Faique,MTTO. EQUIPOS
31,31,2024-05-06,2024-07-30,2024-02-25,Colquijirca,MTTO. EQUIPOS
32,32,2024-10-15,2023-12-26,2024-01-14,La Zanja,MTTO. EQUIPOS
33,33,2024-08-17,2024-09-26,2024-02-06,Cerro Verde,MTTO.ELECTRICO
34,34,2024-02-11,2024-07-18,2024-05-13,Cerro Verde,MTTO. PLANTA
35,35,2024-06-09,2024-07-16,2024-11-03,San Gabriel,MTTO. EQUIPOS
36,36,2023-11-18,2024-02-01,2024-09-12,El Faique,MTTO. EQUIPOS
37,37,2024-08-15,2024-04-06,2023-12-15,Julcani,MTTO. EQUIPOS
38,38,2023-11-08,2024-07-24,2023-12-17,Uchucchacua,MANTTO DE EQUIPOS TRACKLESS
39,39,2024-07-04,2024-04-05,2024-09-24,Yumpag,MTTO. SERVICIOS
40,40,2024-02-18,2024-01-21,2024-04-03,Orcopampa,MTTO. EQUIPOS
41,41,2024-11-01,2024-06-03,2023-11-22,Coimolache,MTTO. SERVICIOS
42,42,2023-11-29,2024-06-08,2024-03-27,Julcani,MTTO. SERVICIOS
43,43,2024-06-27,2024-05-19,2024-02-07,Coimolache,MTTO. EQUIPOS
44,44,2024-01-13,2024-10-22,2024-07-07,Tambomayo,MTTO. PLANTA
45,45,2023-12-01,2024-10-01,2024-01-03,Cerro Verde,MTTO.ELECTRICO
46,46,2024-09-02,2024-08-24,2024-02-11,Colquijirca,MTTO.ELECTRICO
47,47,2023-11-28,2024-04-30,2024-06-13,Cerro Verde,MTTO. SERVICIOS
48,48,2024-01-03,2024-08-20,2024-02-07,Julcani,MTTO. EQUIPOS
49,49,2024-03-03,2024-04-26,2024-10-01,Orcopampa,MTTO. PLANTA
50,50,2024-06-30,2023-11-11,2024-10-23,Orcopampa,MTTO. SERVICIOS
51,51,2024-05-17,2024-06-20,2024-08-16,Orcopampa,MTTO. EQUIPOS
52,52,2023-11-10,2024-03-02,2024-05-15,Orcopampa,MTTO. PLANTA
53,53,2024-08-13,2024-10-12,2024-10-05,San Gabriel,MTTO. EQUIPOS
54,54,2023-12-17,2024-03-02,2023-11-13,La Zanja,MTTO. PLANTA
55,55,2024-08-25,2024-10-21,2024-09-03,Uchucchacua,MTTO. PLANTA
56,56,2024-02-01,2024-07-20,2024-06-21,Julcani,MTTO. EQUIPOS
57,57,2024-09-19,2024-02-11,2024-09-20,Cerro Verde,MTTO. SERVICIOS
58,58,2023-11-29,2024-05-03,2024-06-03,El Faique,MTTO.ELECTRICO
59,59,2024-05-28,2024-06-02,2024-03-21,Uchucchacua,MTTO. EQUIPOS
60,60,2024-04-20,2023-11-12,2023-11-19,El Faique,MANTTO DE EQUIPOS TRACKLESS
61,61,2024-04-03,2024-11-04,2024-01-28,Colquijirca,MANTTO DE EQUIPOS TRACKLESS
62,62,2024-07-22,2024-08-15,2023-11-29,Colquijirca,MANTTO DE EQUIPOS TRACKLESS
63,63,2023-11-13,2023-12-15,2024-09-06,Orcopampa,MTTO. PLANTA
64,64,2024-04-24,2024-03-27,2024-05-31,Río Seco,MTTO. EQUIPOS
65,65,2024-04-23,2023-11-14,2024-03-28,Uchucchacua,MTTO. EQUIPOS
66,66,2024-05-23,2024-10-09,2023-12-25,Colquijirca,MTTO. EQUIPOS
67,67,2024-09-20,2024-05-05,2024-07-08,Coimolache,MTTO. EQUIPOS
68,68,2024-07-30,2024-03-17,2024-02-18,Yumpag,MANTTO DE EQUIPOS TRACKLESS
69,69,2024-08-27,2024-06-12,2024-01-02,Julcani,MTTO. EQUIPOS
70,70,2024-04-22,2024-05-23,2024-07-22,El Faique,MANTTO DE EQUIPOS TRACKLESS
71,71,2024-05-13,2024-08-20,2024-09-27,La Zanja,MTTO.ELECTRICO
72,72,2024-07-07,2024-01-30,2024-08-06,El Faique,MTTO. PLANTA
73,73,2024-04-25,2023-12-14,2024-03-23,Tambomayo,MANTTO DE EQUIPOS TRACKLESS
74,74,2024-10-06,2024-05-19,2024-01-21,Julcani,MTTO. SERVICIOS
75,75,2024-01-31,2024-09-03,2024-07-14,Río Seco,MTTO. EQUIPOS
76,76,2023-12-13,2024-06-25,2023-11-10,Tambomayo,MTTO. EQUIPOS
77,77,2023-11-18,2024-02-01,2024-10-25,Orcopampa,MTTO. PLANTA
78,78,2024-05-25,2024-04-19,2024-03-26,Uchucchacua,MANTTO DE EQUIPOS TRACKLESS
79,79,2024-05-20,2024-09-18,2024-01-18,Julcani,MTTO.ELECTRICO
80,80,2024-04-08,2024-04-12,2024-08-03,La Zanja,MTTO. EQUIPOS
81,81,2024-04-09,2024-01-25,2024-04-27,Colquijirca,MTTO.ELECTRICO
82,82,2024-06-13,2024-10-29,2024-08-24,La Zanja,MTTO. EQUIPOS
83,83,2024-07-03,2024-09-14,2024-02-04,Huanzala,MTTO.ELECTRICO
84,84,2024-02-28,2024-04-08,2024-03-07,San Gabriel,MTTO. EQUIPOS
85,85,2023-11-23,2024-10-26,2024-03-16,El Faique,MTTO. EQUIPOS
86,86,2024-05-19,2024-04-22,2024-06-02,Colquijirca,MANTTO DE EQUIPOS TRACKLESS
87,87,2024-01-03,2023-12-25,2023-11-18,La Zanja,MTTO. PLANTA
88,88,2024-06-02,2024-01-23,2024-02-21,Huanzala,MANTTO DE EQUIPOS TRACKLESS
89,89,2024-07-15,2024-04-03,2024-08-28,San Gabriel,MTTO. EQUIPOS
90,90,2023-12-15,2024-10-07,2023-11-21,Uchucchacua,MTTO.ELECTRICO
91,91,2023-11-20,2023-11-25,2024-01-01,San Gabriel,MTTO.ELECTRICO
92,92,2024-09-23,2023-12-08,2023-12-31,Cerro Verde,MTTO. PLANTA
93,93,2024-09-08,2024-07-07,2024-04-14,Río Seco,MTTO. PLANTA
94,94,2024-10-06,2024-04-01,2024-04-17,La Zanja,MTTO. EQUIPOS
95,95,2024-03-27,2024-03-22,2024-07-07,Colquijirca,MTTO. EQUIPOS
96,96,2024-03-07,2024-06-22,2024-10-01,Cerro Verde,MTTO.ELECTRICO
97,97,2024-02-08,2024-09-03,2024-04-22,Río Seco,MTTO. EQUIPOS
98,98,2023-12-10,2024-03-02,2024-10-04,La Zanja,MTTO.ELECTRICO
99,99,2024-04-29,2023-12-15,2023-12-28,Orcopampa,MANTTO DE EQUIPOS TRACKLESS
100,100,2024-08-27,2024-11-05,2024-06-22,San Gabriel,MANTTO DE EQUIPOS TRACKLESS
101,101,2024-05-08,2024-08-19,2024-01-04,Uchucchacua,MTTO. EQUIPOS
102,102,2024-01-23,2024-10-02,2023-11-23,Yumpag,MTTO.ELECTRICO
103,103,2024-06-19,2023-11-07,2024-09-11,Cerro Verde,MTTO. EQUIPOS
104,104,2024-10-04,2024-10-28,2023-12-20,La Zanja,MTTO. EQUIPOS
105,105,2024-08-12,2024-09-25,2024-10-14,Julcani,MANTTO DE EQUIPOS TRACKLESS
106,106,2024-02-15,2024-08-30,2024-06-30,Río Seco,MANTTO DE EQUIPOS TRACKLESS
107,107,2024-07-21,2023-12-18,2024-02-07,La Zanja,MTTO. EQUIPOS
108,108,2023-12-13,2024-10-22,2024-07-12,Huanzala,MTTO. SERVICIOS
109,109,2024-01-27,2024-08-16,2024-03-05,Orcopampa,MTTO.ELECTRICO
110,110,2024-04-22,2024-10-17,2024-06-15,Yumpag,MTTO. EQUIPOS
111,111,2024-05-22,2024-04-17,2024-09-05,Tambomayo,MTTO. SERVICIOS
112,112,2023-11-11,2024-02-28,2023-12-05,Orcopampa,MTTO. PLANTA
113,113,2024-08-06,2024-10-25,2024-04-13,Río Seco,MTTO. PLANTA
114,114,2024-06-30,2024-08-17,2024-03-17,Colquijirca,MTTO. PLANTA
115,115,2024-07-29,2024-01-25,2024-02-26,Orcopampa,MTTO. EQUIPOS
116,116,2024-06-26,2023-12-23,2024-03-23,Colquijirca,MTTO.ELECTRICO
117,117,2024-07-07,2024-01-06,2024-03-16,Julcani,MTTO. PLANTA
118,118,2024-07-27,2024-06-20,2024-01-30,La Zanja,MTTO. PLANTA
119,119,2023-11-18,2024-03-27,2024-10-30,Río Seco,MTTO. PLANTA
120,120,2024-07-18,2024-03-11,2023-12-15,Yumpag,MTTO. PLANTA
121,121,2024-10-09,2024-10-24,2024-05-02,Cerro Verde,MTTO.ELECTRICO
122,122,2024-05-01,2023-11-29,2023-11-25,El Faique,MTTO. SERVICIOS
123,123,2024-09-08,2024-09-19,2024-07-21,San Gabriel,MTTO. PLANTA
124,124,2024-09-28,2024-10-24,2024-10-16,San Gabriel,MTTO. EQUIPOS
125,125,2024-05-23,2024-06-14,2024-02-16,El Faique,MTTO. SERVICIOS
126,126,2024-09-13,2024-06-23,2023-12-01,Coimolache,MTTO.ELECTRICO
127,127,2024-01-15,2024-05-18,2024-03-16,Julcani,MTTO. SERVICIOS
128,128,2024-04-03,2024-08-07,2024-03-03,El Faique,MTTO. EQUIPOS
129,129,2024-02-28,2024-09-08,2024-04-21,Julcani,MTTO. EQUIPOS
130,130,2024-01-04,2024-08-31,2024-08-12,San Gabriel,MTTO. SERVICIOS
131,131,2023-11-25,2024-07-17,2024-10-18,Coimolache,MTTO.ELECTRICO
132,132,2024-10-20,2023-11-17,2024-09-18,Tambomayo,MTTO. EQUIPOS
133,133,2023-11-17,2024-02-06,2024-04-24,Tambomayo,MTTO.ELECTRICO
134,134,2024-08-06,2024-03-07,2024-10-07,Colquijirca,MTTO. EQUIPOS
135,135,2024-01-21,2024-11-04,2024-10-16,Cerro Verde,MTTO.ELECTRICO
136,136,2024-03-07,2024-01-11,2023-11-22,San Gabriel,MANTTO DE EQUIPOS TRACKLESS
137,137,2024-09-20,2024-02-14,2024-10-21,Orcopampa,MTTO. EQUIPOS
138,138,2024-02-24,2024-01-05,2024-04-27,Huanzala,MTTO. EQUIPOS
139,139,2024-01-26,2024-07-15,2024-06-04,San Gabriel,MTTO. SERVICIOS
140,140,2024-05-19,2024-11-02,2024-03-28,Colquijirca,MANTTO DE EQUIPOS TRACKLESS
141,141,2024-09-28,2023-11-06,2024-01-05,Uchucchacua,MTTO. EQUIPOS
142,142,2024-09-11,2024-06-14,2024-03-22,Coimolache,MTTO. PLANTA
143,143,2024-05-26,2024-02-25,2024-04-16,Julcani,MTTO.ELECTRICO
144,144,2024-04-19,2024-04-17,2024-04-11,El Faique,MTTO.ELECTRICO
145,145,2024-04-05,2023-11-15,2024-09-02,Río Seco,MTTO. SERVICIOS
146,146,2023-12-08,2024-03-20,2023-11-13,Coimolache,MANTTO DE EQUIPOS TRACKLESS
147,147,2024-04-29,2024-09-20,2024-02-03,Río Seco,MTTO. PLANTA
148,148,2024-02-23,2024-10-22,2023-12-24,Yumpag,MTTO. EQUIPOS
149,149,2024-07-27,2024-08-20,2024-08-21,Huanzala,MTTO.ELECTRICO
150,150,2024-02-12,2024-08-03,2023-11-21,Coimolache,MTTO. EQUIPOS
151,151,2024-06-29,2024-04-06,2024-08-14,Uchucchacua,MTTO. EQUIPOS
152,152,2024-07-15,2024-07-16,2024-09-29,Cerro Verde,MANTTO DE EQUIPOS TRACKLESS
153,153,2024-01-19,2024-01-19,2024-01-05,Julcani,MTTO. SERVICIOS
154,154,2024-04-14,2024-05-01,2024-04-14,Huanzala,MTTO. SERVICIOS
155,155,2024-10-15,2023-11-10,2024-04-22,Tambomayo,MTTO. EQUIPOS
156,156,2024-03-04,2024-09-20,2024-06-06,Colquijirca,MTTO. EQUIPOS
157,157,2024-07-08,2023-11-30,2024-03-13,Cerro Verde,MTTO. EQUIPOS
158,158,2024-09-27,2024-07-15,2024-08-26,Colquijirca,MTTO.ELECTRICO
159,159,2024-02-16,2023-11-11,2024-09-28,La Zanja,MTTO. EQUIPOS
160,160,2024-05-28,2024-04-23,2024-06-19,La Zanja,MANTTO DE EQUIPOS TRACKLESS
161,161,2024-09-11,2023-12-25,2023-12-03,Coimolache,MTTO. SERVICIOS
162,162,2024-05-26,2023-12-01,2024-03-28,Tambomayo,MTTO. PLANTA
163,163,2024-07-03,2024-04-21,2024-08-05,Uchucchacua,MTTO. PLANTA
164,164,2024-08-29,2024-03-05,2024-02-20,Tambomayo,MTTO. SERVICIOS
165,165,2024-08-12,2024-01-25,2024-07-08,Río Seco,MTTO. SERVICIOS
166,166,2024-08-03,2024-01-22,2024-10-09,Río Seco,MTTO. EQUIPOS
167,167,2024-01-10,2024-04-25,2024-04-02,El Faique,MTTO.ELECTRICO
168,168,2024-06-19,2024-08-14,2024-10-27,San Gabriel,MANTTO DE EQUIPOS TRACKLESS
169,169,2024-03-10,2024-01-30,2024-08-01,Cerro Verde,MANTTO DE EQUIPOS TRACKLESS
170,170,2024-07-31,2024-02-19,2024-02-18,Julcani,MTTO. EQUIPOS
171,171,2023-12-07,2023-11-25,2023-11-18,Coimolache,MTTO. EQUIPOS
172,172,2023-11-29,2024-09-22,2024-02-04,Julcani,MTTO. EQUIPOS
173,173,2023-12-11,2024-04-01,2024-06-04,Río Seco,MTTO.ELECTRICO
174,174,2023-11-30,2024-04-25,2024-06-04,Cerro Verde,MANTTO DE EQUIPOS TRACKLESS
175,175,2024-08-17,2024-09-15,2024-05-23,Uchucchacua,MTTO. PLANTA
176,176,2024-02-24,2024-09-21,2024-06-15,Yumpag,MTTO. EQUIPOS
177,177,2024-04-14,2023-11-06,2024-10-28,Orcopampa,MTTO. SERVICIOS
178,178,2024-05-13,2023-11-08,2024-07-22,Orcopampa,MTTO. SERVICIOS
179,179,2023-11-06,2024-10-17,2024-02-29,Tambomayo,MTTO. PLANTA
180,180,2024-08-06,2024-07-02,2024-08-21,Río Seco,MTTO. PLANTA
181,181,2024-05-08,2024-09-15,2024-01-02,Julcani,MANTTO DE EQUIPOS TRACKLESS
182,182,2024-05-10,2024-10-31,2024-05-25,El Faique,MTTO. SERVICIOS
183,183,2023-11-11,2024-03-09,2024-01-07,Cerro Verde,MTTO.ELECTRICO
184,184,2023-12-29,2024-07-26,2024-03-05,Tambomayo,MTTO. PLANTA
185,185,2024-02-28,2024-09-12,2024-02-24,La Zanja,MTTO. EQUIPOS
186,186,2024-03-21,2024-03-05,2024-03-06,Julcani,MTTO.ELECTRICO
187,187,2024-08-30,2024-10-08,2024-06-24,Huanzala,MTTO. EQUIPOS
188,188,2024-04-26,2024-01-25,2023-11-12,San Gabriel,MTTO.ELECTRICO
189,189,2024-01-07,2024-01-27,2024-07-31,El Faique,MTTO. EQUIPOS
190,190,2024-03-08,2024-10-05,2024-03-03,El Faique,MTTO. EQUIPOS
191,191,2024-05-08,2024-06-16,2024-02-01,Río Seco,MTTO.ELECTRICO
192,192,2024-07-28,2023-11-26,2024-10-06,Huanzala,MTTO.ELECTRICO
193,193,2024-01-18,2024-05-19,2024-06-26,El Faique,MTTO. SERVICIOS
194,194,2024-11-03,2024-01-05,2023-12-14,Huanzala,MTTO.ELECTRICO
195,195,2024-05-23,2024-01-07,2024-05-15,La Zanja,MTTO. EQUIPOS
196,196,2024-03-26,2024-04-07,2024-10-26,Huanzala,MTTO. EQUIPOS
197,197,2024-09-12,2024-08-02,2024-07-05,Coimolache,MTTO. EQUIPOS
198,198,2023-12-07,2024-01-30,2024-02-13,Colquijirca,MTTO. PLANTA
199,199,2024-01-16,2024-09-21,2024-05-13,El Faique,MANTTO DE EQUIPOS TRACKLESS
200,200,2024-10-16,2023-12-10,2024-03-02,San Gabriel,MTTO.ELECTRICO
201,201,2023-11-22,2024-03-02,2024-07-04,La Zanja,MTTO. PLANTA
202,202,2024-03-29,2023-12-20,2024-05-04,Orcopampa,MANTTO DE EQUIPOS TRACKLESS
203,203,2024-10-09,2024-08-02,2024-08-09,Julcani,MTTO. SERVICIOS
204,204,2024-07-31,2024-09-01,2024-03-05,Cerro Verde,MTTO.ELECTRICO
205,205,2024-02-09,2024-08-01,2024-08-07,Julcani,MTTO. PLANTA
206,206,2023-11-27,2024-05-03,2024-03-18,San Gabriel,MTTO. EQUIPOS
207,207,2024-10-18,2024-01-31,2023-12-07,San Gabriel,MTTO. EQUIPOS
208,208,2024-04-07,2023-11-26,2024-09-20,Cerro Verde,MTTO. EQUIPOS
209,209,2023-11-24,2024-04-13,2024-03-03,Huanzala,MTTO. EQUIPOS
210,210,2024-08-19,2024-08-21,2024-06-13,Orcopampa,MTTO. EQUIPOS
211,211,2024-07-09,2024-08-23,2024-09-11,Río Seco,MTTO. EQUIPOS
212,212,2024-07-16,2024-08-24,2024-07-25,San Gabriel,MTTO. PLANTA
213,213,2024-04-04,2024-03-10,2024-07-22,Uchucchacua,MTTO.ELECTRICO
214,214,2024-04-22,2024-08-18,2024-07-01,Coimolache,MTTO. SERVICIOS
215,215,2024-09-04,2024-11-01,2024-04-26,Julcani,MANTTO DE EQUIPOS TRACKLESS
216,216,2023-12-21,2024-08-02,2024-09-27,Yumpag,MANTTO DE EQUIPOS TRACKLESS
217,217,2024-07-12,2024-09-20,2023-12-27,Tambomayo,MTTO. EQUIPOS
218,218,2024-03-11,2024-07-04,2024-01-17,Colquijirca,MTTO. PLANTA
219,219,2024-10-17,2024-01-25,2024-10-26,Huanzala,MTTO. EQUIPOS
220,220,2024-06-15,2024-03-10,2024-03-19,Yumpag,MANTTO DE EQUIPOS TRACKLESS
221,221,2024-10-14,2024-02-24,2024-09-19,Tambomayo,MTTO. SERVICIOS
222,222,2023-12-26,2024-04-26,2024-10-24,Julcani,MTTO. PLANTA
223,223,2024-08-22,2024-08-27,2024-11-05,Julcani,MTTO. EQUIPOS
224,224,2024-01-25,2024-07-15,2024-03-06,Coimolache,MTTO. PLANTA
225,225,2024-02-16,2024-10-19,2023-12-17,El Faique,MANTTO DE EQUIPOS TRACKLESS
226,226,2024-07-18,2024-01-31,2024-05-06,Uchucchacua,MTTO.ELECTRICO
227,227,2024-07-09,2024-10-28,2024-05-31,Yumpag,MTTO.ELECTRICO
228,228,2024-05-26,2024-06-20,2024-10-26,Coimolache,MTTO.ELECTRICO
229,229,2024-10-13,2024-09-20,2024-02-29,Julcani,MTTO. EQUIPOS
230,230,2024-09-22,2024-01-26,2023-11-17,Uchucchacua,MTTO.ELECTRICO
231,231,2024-07-11,2024-01-19,2024-04-12,Huanzala,MTTO. SERVICIOS
232,232,2024-06-23,2024-08-06,2024-06-10,Río Seco,MTTO. SERVICIOS
233,233,2024-08-06,2024-01-09,2024-04-15,Coimolache,MTTO.ELECTRICO
234,234,2024-09-06,2024-04-28,2024-06-20,Colquijirca,MTTO.ELECTRICO
235,235,2024-10-27,2024-08-14,2024-09-01,Yumpag,MANTTO DE EQUIPOS TRACKLESS
236,236,2024-03-05,2024-04-12,2023-11-23,Julcani,MANTTO DE EQUIPOS TRACKLESS
237,237,2024-07-02,2024-03-10,2024-09-18,Colquijirca,MTTO. EQUIPOS
238,238,2023-11-14,2024-04-22,2024-03-15,Tambomayo,MTTO. SERVICIOS
239,239,2024-08-16,2023-11-30,2024-06-19,Uchucchacua,MTTO. EQUIPOS
240,240,2023-11-07,2024-04-22,2024-09-12,La Zanja,MTTO.ELECTRICO
241,241,2024-06-23,2024-09-06,2024-04-01,San Gabriel,MTTO.ELECTRICO
242,242,2024-08-19,2024-06-04,2024-07-15,Río Seco,MTTO. PLANTA
243,243,2024-02-21,2024-07-06,2024-03-13,Río Seco,MANTTO DE EQUIPOS TRACKLESS
244,244,2023-12-11,2024-02-02,2024-04-08,Huanzala,MTTO. PLANTA
245,245,2024-04-18,2023-11-15,2024-08-08,Yumpag,MTTO.ELECTRICO
246,246,2024-10-16,2024-01-13,2024-09-11,Julcani,MTTO. PLANTA
247,247,2024-01-11,2024-07-13,2024-05-10,San Gabriel,MANTTO DE EQUIPOS TRACKLESS
248,248,2024-02-16,2024-03-21,2024-09-02,Río Seco,MANTTO DE EQUIPOS TRACKLESS
249,249,2024-07-25,2024-08-31,2023-11-09,San Gabriel,MTTO. EQUIPOS
250,250,2024-08-31,2024-02-15,2024-06-22,Colquijirca,MANTTO DE EQUIPOS TRACKLESS
251,251,2024-06-25,2024-06-12,2024-05-10,La Zanja,MTTO. EQUIPOS
252,252,2024-08-05,2023-12-11,2024-07-19,Orcopampa,MTTO.ELECTRICO
253,253,2024-05-02,2024-05-18,2024-01-10,Coimolache,MTTO. PLANTA
254,254,2024-01-25,2024-03-01,2024-08-11,Yumpag,MTTO. EQUIPOS
255,255,2024-04-24,2023-11-23,2024-07-06,Huanzala,MTTO. EQUIPOS
256,256,2023-11-29,2024-03-25,2024-03-13,Julcani,MTTO. EQUIPOS
257,257,2023-12-22,2023-11-15,2024-03-29,Río Seco,MTTO. SERVICIOS
258,258,2024-05-29,2024-09-30,2024-07-03,Uchucchacua,MTTO.ELECTRICO
259,259,2024-08-24,2024-02-06,2024-02-17,La Zanja,MTTO.ELECTRICO
260,260,2024-04-14,2024-03-06,2024-02-08,Huanzala,MTTO. PLANTA
261,261,2024-08-18,2024-05-29,2024-05-03,Coimolache,MTTO. EQUIPOS
262,262,2024-01-18,2024-10-21,2024-01-10,Río Seco,MANTTO DE EQUIPOS TRACKLESS
263,263,2024-01-09,2024-01-19,2024-06-18,Huanzala,MTTO. EQUIPOS
264,264,2024-04-02,2024-09-20,2024-10-22,Huanzala,MTTO. PLANTA
265,265,2024-07-28,2024-07-07,2024-10-24,Huanzala,MTTO. PLANTA
266,266,2024-10-27,2024-04-19,2023-12-15,Orcopampa,MTTO. EQUIPOS
267,267,2024-10-01,2024-03-04,2023-12-12,El Faique,MTTO. PLANTA
268,268,2023-11-12,2024-08-10,2024-10-02,Tambomayo,MTTO. EQUIPOS
269,269,2024-04-01,2024-04-17,2024-09-22,San Gabriel,MTTO. PLANTA
270,270,2023-11-29,2024-02-22,2024-04-03,Julcani,MTTO. EQUIPOS
271,271,2024-06-29,2024-07-19,2023-11-08,Río Seco,MTTO. PLANTA
272,272,2023-11-20,2024-01-20,2024-04-27,Coimolache,MTTO. EQUIPOS
273,273,2024-01-01,2023-11-07,2024-03-08,Río Seco,MTTO.ELECTRICO
274,274,2024-03-31,2024-07-17,2024-03-10,Cerro Verde,MTTO. PLANTA
275,275,2024-08-24,2024-02-14,2024-01-18,Cerro Verde,MTTO. EQUIPOS
276,276,2023-12-21,2024-10-14,2024-05-24,Uchucchacua,MANTTO DE EQUIPOS TRACKLESS
277,277,2024-04-20,2024-01-06,2024-07-30,El Faique,MANTTO DE EQUIPOS TRACKLESS
278,278,2024-10-22,2024-06-23,2024-01-27,Tambomayo,MANTTO DE EQUIPOS TRACKLESS
279,279,2024-06-05,2024-06-09,2024-04-26,Uchucchacua,MTTO.ELECTRICO
280,280,2023-12-17,2024-01-23,2023-11-20,Uchucchacua,MANTTO DE EQUIPOS TRACKLESS
281,281,2024-10-21,2024-04-18,2023-12-24,Colquijirca,MTTO. EQUIPOS
282,282,2024-07-11,2024-07-29,2024-01-14,Río Seco,MTTO. EQUIPOS
283,283,2024-01-16,2024-02-16,2024-08-05,Coimolache,MANTTO DE EQUIPOS TRACKLESS
284,284,2023-11-23,2024-09-16,2024-09-11,Coimolache,MTTO. EQUIPOS
285,285,2024-11-03,2024-06-27,2024-04-17,Orcopampa,MANTTO DE EQUIPOS TRACKLESS
286,286,2024-02-28,2024-08-08,2024-03-27,Río Seco,MANTTO DE EQUIPOS TRACKLESS
287,287,2024-10-18,2024-10-10,2024-03-10,Huanzala,MTTO.ELECTRICO
288,288,2024-02-20,2024-06-06,2024-01-14,La Zanja,MTTO. EQUIPOS
289,289,2024-04-18,2024-11-03,2024-04-23,Huanzala,MANTTO DE EQUIPOS TRACKLESS
290,290,2024-03-16,2023-12-14,2024-10-11,Huanzala,MTTO. EQUIPOS
291,291,2024-10-22,2024-09-20,2024-09-10,Orcopampa,MTTO. PLANTA
292,292,2024-01-27,2024-05-24,2024-08-15,El Faique,MTTO. SERVICIOS
293,293,2024-10-08,2024-03-26,2024-09-21,Orcopampa,MTTO. PLANTA
294,294,2023-11-25,2024-05-10,2024-02-13,San Gabriel,MTTO. PLANTA
295,295,2024-09-30,2024-02-14,2024-06-11,La Zanja,MANTTO DE EQUIPOS TRACKLESS
296,296,2024-06-13,2023-12-15,2024-03-22,Tambomayo,MTTO. PLANTA
297,297,2024-10-07,2024-04-16,2024-06-19,La Zanja,MTTO. SERVICIOS
298,298,2024-09-22,2024-10-31,2024-08-02,Coimolache,MTTO. EQUIPOS
299,299,2024-05-20,2024-03-29,2023-11-15,Coimolache,MTTO. SERVICIOS
300,300,2024-06-22,2024-01-09,2024-04-30,Julcani,MTTO. SERVICIOS
301,301,2024-03-05,2024-06-07,2024-05-15,San Gabriel,MTTO. PLANTA
302,302,2024-05-06,2023-12-28,2023-12-27,San Gabriel,MTTO.ELECTRICO
303,303,2024-03-04,2024-01-08,2024-05-04,Colquijirca,MTTO. PLANTA
304,304,2024-09-12,2024-06-10,2024-09-20,Orcopampa,MANTTO DE EQUIPOS TRACKLESS
