Descripcion_tarea,Puesto_trabajo,Cond_operacional,Id_tarea,Id_actividad,id_tarea,id_actividad
Probar los sistemas de alarma para verificar su respuesta,Coordinador de Mantenimiento,asignaciones regulares,209,293,81,18
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,229,156,82,18
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,32,123,83,18
Probar los sistemas de alarma para verificar su respuesta,Lider de Equipo de Mantenimiento,obligaciones frecuentes,178,268,84,19
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,responsabilidades habituales,75,278,85,19
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,recados semanales,100,148,86,19
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,asignaciones regulares,152,273,87,19
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,260,298,88,19
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,deberes ocasionales,137,142,89,19
Revisar las salidas de emergencia para detectar obstrucciones,Coordinador de Mantenimiento,asignaciones regulares,220,169,90,19
Probar los sistemas de alarma para verificar su respuesta,Planificador de Mantenimiento,deberes ocasionales,275,274,91,19
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,27,168,92,19
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,recados semanales,5,40,93,19
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,recados semanales,188,2,94,20
Inspeccionar las bandas transportadoras en busca de desgaste,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,238,154,95,21
Probar los sistemas de alarma para verificar su respuesta,Ingeniero de Mantenimiento Preventivo,Tareas diarias,223,100,96,21
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,recados semanales,256,295,97,21
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,metas anuales,122,47,98,21
Probar los sistemas de alarma para verificar su respuesta,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,176,55,99,21
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,metas anuales,167,20,100,21
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,Tareas diarias,266,218,101,22
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,asignaciones regulares,17,113,102,22
Probar los sistemas de deteccion de gases para verificar su precision,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,231,116,103,22
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,metas anuales,132,244,104,22
Inspeccionar los arneses de seguridad en busca de danos,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,228,33,105,22
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento,metas anuales,114,9,106,22
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento Preventivo,deberes ocasionales,199,278,107,22
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Supervisor de Mantenimiento,metas anuales,169,294,108,22
Inspeccionar los arneses de seguridad en busca de danos,Planificador de Mantenimiento,obligaciones frecuentes,60,80,109,22
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,metas anuales,149,3,110,22
Probar los sistemas de deteccion de gases para verificar su precision,Supervisor de Mantenimiento,deberes ocasionales,16,37,111,23
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,Tareas diarias,150,276,112,23
Probar la iluminacion de emergencia para verificar su funcionalidad,Gerente de Instalaciones,responsabilidades habituales,94,100,113,23
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento,responsabilidades habituales,41,236,114,24
Inspeccionar las bandas transportadoras en busca de desgaste,Lider de Equipo de Mantenimiento,asignaciones regulares,45,227,115,24
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,8,291,116,24
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento,responsabilidades habituales,91,72,117,24
Inspeccionar el andamiaje para asegurar su estabilidad,Supervisor de Mantenimiento,Tareas diarias,224,97,118,24
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento,recados semanales,244,222,119,24
Probar los sistemas de deteccion de gases para verificar su precision,Coordinador de Mantenimiento,asignaciones regulares,229,25,120,24
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,asignaciones regulares,81,59,121,24
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento Preventivo,responsabilidades habituales,27,134,122,24
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Lider de Equipo de Mantenimiento,recados semanales,228,73,123,24
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,metas anuales,46,97,124,25
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Supervisor de Mantenimiento,obligaciones frecuentes,74,235,125,25
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Tecnico de Mantenimiento Preventivo,asignaciones regulares,81,252,126,25
Revisar las salidas de emergencia para detectar obstrucciones,Supervisor de Mantenimiento,Tareas diarias,42,244,127,25
Inspeccionar el andamiaje para asegurar su estabilidad,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,187,230,128,25
Probar los botones de parada de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,responsabilidades habituales,101,114,129,25
Probar los sistemas de alarma para verificar su respuesta,Lider de Equipo de Mantenimiento,metas anuales,180,109,130,26
Probar los sistemas de deteccion de gases para verificar su precision,Planificador de Mantenimiento,recados semanales,119,109,131,26
Probar los sistemas de alarma para verificar su respuesta,Planificador de Mantenimiento,deberes ocasionales,295,202,132,26
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,76,28,133,26
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento,recados semanales,145,80,134,26
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,responsabilidades habituales,50,40,135,26
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,asignaciones regulares,167,180,136,26
Inspeccionar los arneses de seguridad en busca de danos,Coordinador de Mantenimiento,asignaciones regulares,41,47,137,26
Probar los sistemas de alarma para verificar su respuesta,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,200,33,138,26
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Gerente de Instalaciones,metas anuales,173,260,139,27
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,recados semanales,262,205,140,27
Probar la iluminacion de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,metas anuales,219,169,141,28
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,obligaciones frecuentes,135,218,142,28
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,asignaciones regulares,150,167,143,29
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento Preventivo,asignaciones regulares,143,227,144,29
Probar los botones de parada de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,asignaciones regulares,113,260,145,29
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,recados semanales,244,176,146,29
Inspeccionar los arneses de seguridad en busca de danos,Inspector de Mantenimiento,obligaciones frecuentes,181,104,147,29
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento Preventivo,Tareas diarias,119,263,148,29
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,deberes ocasionales,258,176,149,30
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,asignaciones regulares,22,288,150,30
Inspeccionar las bandas transportadoras en busca de desgaste,Ingeniero de Mantenimiento Preventivo,obligaciones frecuentes,98,287,151,30
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,deberes ocasionales,261,130,152,30
Inspeccionar el andamiaje para asegurar su estabilidad,Supervisor de Mantenimiento,obligaciones frecuentes,83,176,153,30
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Gerente de Instalaciones,obligaciones frecuentes,159,56,154,30
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Lider de Equipo de Mantenimiento,responsabilidades habituales,25,184,155,30
Inspeccionar el andamiaje para asegurar su estabilidad,Supervisor de Mantenimiento,Tareas diarias,237,226,156,31
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,metas anuales,224,140,157,31
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,recados semanales,156,63,158,32
Probar los botones de parada de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,recados semanales,72,223,159,32
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,responsabilidades habituales,198,222,160,32
Inspeccionar el andamiaje para asegurar su estabilidad,Especialista en Mantenimiento Preventivo,deberes ocasionales,228,277,161,32
Probar los botones de parada de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,recados semanales,235,190,162,32
Probar los sistemas de alarma para verificar su respuesta,Ingeniero de Mantenimiento Preventivo,Tareas diarias,243,283,163,32
Probar los sistemas de deteccion de gases para verificar su precision,Planificador de Mantenimiento,obligaciones frecuentes,19,273,164,32
Probar los botones de parada de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,metas anuales,201,46,165,32
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,deberes ocasionales,251,120,166,32
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,deberes ocasionales,96,203,167,32
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,deberes ocasionales,61,272,168,33
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,recados semanales,1,296,169,33
Inspeccionar el andamiaje para asegurar su estabilidad,Tecnico de Mantenimiento Preventivo,asignaciones regulares,27,103,170,33
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,metas anuales,189,18,171,33
Probar los sistemas de alarma para verificar su respuesta,Gerente de Instalaciones,Tareas diarias,253,140,172,33
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,Tareas diarias,206,194,173,33
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Supervisor de Mantenimiento,Tareas diarias,242,117,174,34
Probar los sistemas de deteccion de gases para verificar su precision,Inspector de Mantenimiento,deberes ocasionales,95,89,175,34
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,recados semanales,187,240,176,34
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,metas anuales,1,176,177,34
Probar los sistemas de deteccion de gases para verificar su precision,Coordinador de Mantenimiento,metas anuales,56,32,178,34
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento Preventivo,obligaciones frecuentes,13,16,179,34
Inspeccionar los arneses de seguridad en busca de danos,Planificador de Mantenimiento,asignaciones regulares,291,97,180,35
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,metas anuales,25,39,181,35
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,Tareas diarias,117,111,182,35
Probar los botones de parada de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,Tareas diarias,24,102,183,35
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,asignaciones regulares,280,79,184,35
Inspeccionar el andamiaje para asegurar su estabilidad,Supervisor de Mantenimiento,deberes ocasionales,133,234,185,35
Probar la iluminacion de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,metas anuales,61,114,186,35
Inspeccionar los arneses de seguridad en busca de danos,Especialista en Mantenimiento Preventivo,recados semanales,274,35,187,36
Probar los sistemas de deteccion de gases para verificar su precision,Supervisor de Mantenimiento,metas anuales,14,159,188,36
Revisar las salidas de emergencia para detectar obstrucciones,Inspector de Mantenimiento,Tareas diarias,171,123,189,36
Probar los sistemas de deteccion de gases para verificar su precision,Inspector de Mantenimiento,asignaciones regulares,268,1,190,36
Probar los sistemas de deteccion de gases para verificar su precision,Gerente de Instalaciones,deberes ocasionales,195,30,191,36
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,asignaciones regulares,297,270,192,37
Probar los sistemas de deteccion de gases para verificar su precision,Inspector de Mantenimiento,recados semanales,30,177,193,37
Probar la iluminacion de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,asignaciones regulares,161,98,194,37
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Supervisor de Mantenimiento,obligaciones frecuentes,269,271,195,37
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,responsabilidades habituales,178,83,196,37
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,deberes ocasionales,143,256,197,37
Inspeccionar el andamiaje para asegurar su estabilidad,Lider de Equipo de Mantenimiento,responsabilidades habituales,84,150,198,37
Probar los sistemas de deteccion de gases para verificar su precision,Ingeniero de Mantenimiento Preventivo,obligaciones frecuentes,74,158,199,37
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento,obligaciones frecuentes,61,134,200,37
Probar los sistemas de deteccion de gases para verificar su precision,Coordinador de Mantenimiento,obligaciones frecuentes,131,214,201,38
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Gerente de Instalaciones,deberes ocasionales,138,289,202,38
Revisar las salidas de emergencia para detectar obstrucciones,Planificador de Mantenimiento,asignaciones regulares,157,79,203,38
Inspeccionar el andamiaje para asegurar su estabilidad,Inspector de Mantenimiento,recados semanales,212,131,204,38
Probar los sistemas de alarma para verificar su respuesta,Inspector de Mantenimiento,asignaciones regulares,19,89,205,38
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,deberes ocasionales,139,50,206,38
Probar los botones de parada de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,Tareas diarias,227,211,207,38
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,Tareas diarias,65,268,208,38
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,deberes ocasionales,15,106,209,39
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,metas anuales,277,265,210,39
Revisar las salidas de emergencia para detectar obstrucciones,Inspector de Mantenimiento,asignaciones regulares,143,226,211,39
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,recados semanales,181,1,212,40
Probar los botones de parada de emergencia para verificar su funcionalidad,Gerente de Instalaciones,asignaciones regulares,283,134,213,40
Probar la iluminacion de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,Tareas diarias,153,122,214,41
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,deberes ocasionales,110,106,215,41
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Planificador de Mantenimiento,asignaciones regulares,280,256,216,41
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,Tareas diarias,289,181,217,41
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,deberes ocasionales,108,137,218,42
Inspeccionar los arneses de seguridad en busca de danos,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,188,269,219,42
Inspeccionar las bandas transportadoras en busca de desgaste,Ingeniero de Mantenimiento Preventivo,metas anuales,106,1,220,42
Revisar las salidas de emergencia para detectar obstrucciones,Lider de Equipo de Mantenimiento,recados semanales,196,216,221,42
Inspeccionar los arneses de seguridad en busca de danos,Planificador de Mantenimiento,obligaciones frecuentes,172,170,222,42
Inspeccionar las bandas transportadoras en busca de desgaste,Especialista en Mantenimiento Preventivo,deberes ocasionales,92,19,223,42
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Gerente de Instalaciones,asignaciones regulares,91,249,224,42
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento,Tareas diarias,119,104,225,42
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,25,229,226,42
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,obligaciones frecuentes,265,232,227,42
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento Preventivo,deberes ocasionales,30,186,228,43
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento,asignaciones regulares,287,281,229,43
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,recados semanales,177,65,230,43
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento Preventivo,metas anuales,203,256,231,43
Probar los sistemas de deteccion de gases para verificar su precision,Supervisor de Mantenimiento,metas anuales,116,224,232,43
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Gerente de Instalaciones,metas anuales,193,69,233,43
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,asignaciones regulares,12,84,234,43
Inspeccionar las bandas transportadoras en busca de desgaste,Supervisor de Mantenimiento,deberes ocasionales,131,228,235,43
Revisar las salidas de emergencia para detectar obstrucciones,Supervisor de Mantenimiento,Tareas diarias,243,82,236,43
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,responsabilidades habituales,186,210,237,44
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Especialista en Mantenimiento Preventivo,metas anuales,110,273,238,44
Inspeccionar el andamiaje para asegurar su estabilidad,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,269,139,239,44
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento,Tareas diarias,227,73,240,45
Probar los sistemas de deteccion de gases para verificar su precision,Inspector de Mantenimiento,responsabilidades habituales,148,77,241,45
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,recados semanales,190,205,242,45
